"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22822","","5273","","28095",""
"2","Total Active Cases","123 
(0.54%)","","02 
(0.04%)","","125 
(0.44%)",""
"3","Total Cured/ Discharged","22531 
(98.7%)","","5211                                  
(98.8%)","","(98.7%)",""
"4","Total Died","168 
(0.74%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","05","","0","","05",""
"6","Total Positive cases in Home Isolation","35","","02","","37",""
"7","COVID Care Centre","81","","00","","81",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","499","","91","","590",""
"10","No. of Samples Positive (Today)","11","","00","","11",""
"11","No. of Samples Negative (Today)","488","","91","","579",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","388 
        00 
        00 
        02 
       390"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(03/03/2022)","","Test Done Today 
(04/03/2022)","","Cumulative"
"","","a)  RTPCR","305629","","483","","306112"
"","","b)  TRUENAT","12378","","18","","12396"
"","","c)  RAT","346850","","88","","346938"
"","","d)  CBNAAT","830","","01","","831"
"","","TOTAL","665687","","590","","666277"
