,State,Vaccination1,Vaccination2,Date,Confirmed,Recovered,Deceased,Other,Tested,Vaccination3
55,Uttar Pradesh,,,2020-03-08,8,0,0,0,0,
56,Delhi,,,2020-03-09,4,0,0,0,0,
57,Haryana,,,2020-03-09,14,0,0,0,0,
58,India,,,2020-03-09,48,3,0,0,0,
59,Jammu and Kashmir,,,2020-03-09,1,0,0,0,0,
60,Karnataka,,,2020-03-09,1,0,0,0,0,
61,Kerala,,,2020-03-09,9,3,0,0,0,
62,Ladakh,,,2020-03-09,2,0,0,0,0,
63,Maharashtra,,,2020-03-09,2,0,0,0,0,
64,Punjab,,,2020-03-09,1,0,0,0,0,
65,Rajasthan,,,2020-03-09,2,0,0,0,0,
66,Tamil Nadu,,,2020-03-09,1,0,0,0,0,
67,Telangana,,,2020-03-09,1,0,0,0,0,
68,Uttar Pradesh,,,2020-03-09,10,0,0,0,0,
69,Delhi,,,2020-03-10,4,0,0,0,0,
70,Haryana,,,2020-03-10,14,0,0,0,0,
71,India,,,2020-03-10,63,3,0,0,0,
72,Jammu and Kashmir,,,2020-03-10,1,0,0,0,0,
73,Karnataka,,,2020-03-10,4,0,0,0,0,
74,Kerala,,,2020-03-10,17,3,0,0,0,
75,Ladakh,,,2020-03-10,2,0,0,0,0,
76,Maharashtra,,,2020-03-10,5,0,0,0,0,
77,Punjab,,,2020-03-10,1,0,0,0,0,
78,Rajasthan,,,2020-03-10,3,0,0,0,0,
79,Tamil Nadu,,,2020-03-10,1,0,0,0,0,
80,Telangana,,,2020-03-10,1,0,0,0,0,
81,Uttar Pradesh,,,2020-03-10,10,0,0,0,0,
82,Delhi,,,2020-03-11,5,0,0,0,0,
83,Haryana,,,2020-03-11,14,0,0,0,0,
84,India,,,2020-03-11,71,3,0,0,0,
85,Jammu and Kashmir,,,2020-03-11,1,0,0,0,0,
86,Karnataka,,,2020-03-11,4,0,0,0,0,
87,Kerala,,,2020-03-11,17,3,0,0,0,
88,Ladakh,,,2020-03-11,3,0,0,0,0,
89,Maharashtra,,,2020-03-11,11,0,0,0,0,
90,Punjab,,,2020-03-11,1,0,0,0,0,
91,Rajasthan,,,2020-03-11,3,0,0,0,0,
92,Tamil Nadu,,,2020-03-11,1,0,0,0,0,
93,Telangana,,,2020-03-11,1,0,0,0,0,
94,Uttar Pradesh,,,2020-03-11,10,0,0,0,0,
95,Andhra Pradesh,,,2020-03-12,1,0,0,0,0,
96,Delhi,,,2020-03-12,6,0,0,0,0,
97,Haryana,,,2020-03-12,14,0,0,0,0,
98,India,,,2020-03-12,81,3,0,0,0,
99,Jammu and Kashmir,,,2020-03-12,1,0,0,0,0,
100,Karnataka,,,2020-03-12,5,0,0,0,0,
101,Kerala,,,2020-03-12,19,3,0,0,0,
102,Ladakh,,,2020-03-12,3,0,0,0,0,
103,Maharashtra,,,2020-03-12,14,0,0,0,0,
104,Punjab,,,2020-03-12,1,0,0,0,0,
105,Rajasthan,,,2020-03-12,3,0,0,0,0,
106,Tamil Nadu,,,2020-03-12,1,0,0,0,0,
107,Telangana,,,2020-03-12,1,0,0,0,0,
108,Uttar Pradesh,,,2020-03-12,12,0,0,0,0,
109,Andhra Pradesh,,,2020-03-13,1,0,0,0,0,
110,Delhi,,,2020-03-13,7,0,0,0,0,
111,Haryana,,,2020-03-13,14,0,0,0,0,
112,India,,,2020-03-13,91,3,1,0,6500,
113,Jammu and Kashmir,,,2020-03-13,2,0,0,0,0,
114,Karnataka,,,2020-03-13,6,0,1,0,0,
115,Kerala,,,2020-03-13,22,3,0,0,0,
116,Ladakh,,,2020-03-13,3,0,0,0,0,
117,Maharashtra,,,2020-03-13,17,0,0,0,0,
118,Punjab,,,2020-03-13,1,0,0,0,0,
119,Rajasthan,,,2020-03-13,3,0,0,0,0,
120,Tamil Nadu,,,2020-03-13,1,0,0,0,0,
121,Telangana,,,2020-03-13,1,0,0,0,0,
122,Uttar Pradesh,,,2020-03-13,13,0,0,0,0,
123,Andhra Pradesh,,,2020-03-14,1,0,0,0,0,
124,Delhi,,,2020-03-14,7,0,0,0,0,
125,Haryana,,,2020-03-14,14,0,0,0,0,
126,Himachal Pradesh,,,2020-03-14,0,0,0,3,0,
127,India,,,2020-03-14,102,3,1,3,6500,
128,Jammu and Kashmir,,,2020-03-14,2,0,0,0,0,
129,Karnataka,,,2020-03-14,6,0,1,0,0,
130,Kerala,,,2020-03-14,22,3,0,0,0,
131,Ladakh,,,2020-03-14,3,0,0,0,0,
132,Maharashtra,,,2020-03-14,26,0,0,0,0,
133,Punjab,,,2020-03-14,1,0,0,0,0,
134,Rajasthan,,,2020-03-14,4,0,0,0,0,
135,Tamil Nadu,,,2020-03-14,1,0,0,0,0,
136,Telangana,,,2020-03-14,2,0,0,0,0,
137,Uttar Pradesh,,,2020-03-14,13,0,0,0,0,
138,Andhra Pradesh,,,2020-03-15,1,0,0,0,0,
139,Delhi,,,2020-03-15,7,0,0,0,0,
140,Haryana,,,2020-03-15,14,0,0,0,0,
141,Himachal Pradesh,,,2020-03-15,0,0,0,3,0,
142,India,,,2020-03-15,112,3,1,3,6500,
143,Jammu and Kashmir,,,2020-03-15,2,0,0,0,0,
144,Karnataka,,,2020-03-15,6,0,1,0,0,
145,Kerala,,,2020-03-15,24,3,0,0,0,
146,Ladakh,,,2020-03-15,3,0,0,0,0,
147,Maharashtra,,,2020-03-15,32,0,0,0,0,
148,Punjab,,,2020-03-15,1,0,0,0,0,
149,Rajasthan,,,2020-03-15,4,0,0,0,0,
150,Tamil Nadu,,,2020-03-15,1,0,0,0,0,
151,Telangana,,,2020-03-15,3,0,0,0,0,
152,Uttar Pradesh,,,2020-03-15,13,0,0,0,0,
153,Uttarakhand,,,2020-03-15,1,0,0,0,0,
154,Andhra Pradesh,,,2020-03-16,1,0,0,0,0,
155,Delhi,,,2020-03-16,7,0,0,0,0,
156,Haryana,,,2020-03-16,14,0,0,0,0,
157,Himachal Pradesh,,,2020-03-16,0,0,0,3,0,
158,India,,,2020-03-16,126,3,1,3,6500,
159,Jammu and Kashmir,,,2020-03-16,3,0,0,0,0,
160,Karnataka,,,2020-03-16,7,0,1,0,0,
161,Kerala,,,2020-03-16,27,3,0,0,0,
162,Ladakh,,,2020-03-16,3,0,0,0,0,
163,Maharashtra,,,2020-03-16,39,0,0,0,0,
164,Odisha,,,2020-03-16,1,0,0,0,0,
165,Punjab,,,2020-03-16,1,0,0,0,0,
166,Rajasthan,,,2020-03-16,4,0,0,0,0,
167,Tamil Nadu,,,2020-03-16,1,0,0,0,0,
168,Telangana,,,2020-03-16,4,0,0,0,0,
169,Uttar Pradesh,,,2020-03-16,13,0,0,0,0,
170,Uttarakhand,,,2020-03-16,1,0,0,0,0,
171,Andhra Pradesh,,,2020-03-17,1,0,0,0,0,
172,Delhi,,,2020-03-17,10,0,0,0,0,
173,Haryana,,,2020-03-17,15,0,0,0,0,
174,Himachal Pradesh,,,2020-03-17,0,0,0,3,0,
175,India,,,2020-03-17,146,3,1,3,6500,
176,Jammu and Kashmir,,,2020-03-17,3,0,0,0,0,
177,Karnataka,,,2020-03-17,11,0,1,0,0,
178,Kerala,,,2020-03-17,27,3,0,0,0,
179,Ladakh,,,2020-03-17,8,0,0,0,0,
180,Maharashtra,,,2020-03-17,41,0,0,0,0,
181,Odisha,,,2020-03-17,1,0,0,0,0,
182,Puducherry,,,2020-03-17,1,0,0,0,0,
183,Punjab,,,2020-03-17,1,0,0,0,0,
184,Rajasthan,,,2020-03-17,4,0,0,0,0,
185,Tamil Nadu,,,2020-03-17,1,0,0,0,0,
186,Telangana,,,2020-03-17,5,0,0,0,0,
187,Uttar Pradesh,,,2020-03-17,15,0,0,0,0,
188,Uttarakhand,,,2020-03-17,1,0,0,0,0,
189,West Bengal,,,2020-03-17,1,0,0,0,0,
190,Andhra Pradesh,,,2020-03-18,1,0,0,0,0,
191,Delhi,,,2020-03-18,11,0,0,0,0,
192,Haryana,,,2020-03-18,17,0,0,0,0,
193,Himachal Pradesh,,,2020-03-18,0,0,0,3,0,
194,India,,,2020-03-18,171,3,1,3,13125,
195,Jammu and Kashmir,,,2020-03-18,4,0,0,0,0,
196,Karnataka,,,2020-03-18,14,0,1,0,0,
197,Kerala,,,2020-03-18,27,3,0,0,0,
198,Ladakh,,,2020-03-18,8,0,0,0,0,
199,Maharashtra,,,2020-03-18,45,0,0,0,0,
200,Odisha,,,2020-03-18,1,0,0,0,0,
201,Puducherry,,,2020-03-18,1,0,0,0,0,
202,Punjab,,,2020-03-18,1,0,0,0,0,
203,Rajasthan,,,2020-03-18,7,0,0,0,0,
204,Tamil Nadu,,,2020-03-18,2,0,0,0,0,
205,Telangana,,,2020-03-18,13,0,0,0,0,
206,Uttar Pradesh,,,2020-03-18,17,0,0,0,0,
207,Uttarakhand,,,2020-03-18,1,0,0,0,0,
208,West Bengal,,,2020-03-18,1,0,0,0,0,
209,Andhra Pradesh,,,2020-03-19,3,0,0,0,0,
210,Chandigarh,,,2020-03-19,1,0,0,0,0,
211,Chhattisgarh,,,2020-03-19,1,0,0,0,0,
212,Delhi,,,2020-03-19,14,0,0,0,0,
213,Gujarat,,,2020-03-19,2,0,0,0,0,
214,Haryana,,,2020-03-19,17,0,0,0,0,
215,Himachal Pradesh,,,2020-03-19,0,0,0,3,0,
216,India,,,2020-03-19,198,3,1,3,14175,
217,Jammu and Kashmir,,,2020-03-19,4,0,0,0,0,
218,Karnataka,,,2020-03-19,15,0,1,0,0,
219,Kerala,,,2020-03-19,28,3,0,0,0,
220,Ladakh,,,2020-03-19,8,0,0,0,0,
221,Maharashtra,,,2020-03-19,48,0,0,0,0,
222,Odisha,,,2020-03-19,2,0,0,0,0,
223,Puducherry,,,2020-03-19,1,0,0,0,0,
224,Punjab,,,2020-03-19,2,0,0,0,0,
225,Rajasthan,,,2020-03-19,9,0,0,0,0,
226,Tamil Nadu,,,2020-03-19,3,0,0,0,0,
227,Telangana,,,2020-03-19,16,0,0,0,0,
228,Uttar Pradesh,,,2020-03-19,20,0,0,0,0,
229,Uttarakhand,,,2020-03-19,3,0,0,0,0,
230,West Bengal,,,2020-03-19,1,0,0,0,0,
231,Andhra Pradesh,,,2020-03-20,3,0,0,0,0,
232,Chandigarh,,,2020-03-20,5,0,0,0,0,
233,Chhattisgarh,,,2020-03-20,1,0,0,0,0,
234,Delhi,,,2020-03-20,20,0,0,0,0,
235,Gujarat,,,2020-03-20,7,0,0,0,0,
236,Haryana,,,2020-03-20,19,0,0,0,0,
237,Himachal Pradesh,,,2020-03-20,2,0,0,3,0,
238,India,,,2020-03-20,256,4,1,3,15404,
239,Jammu and Kashmir,,,2020-03-20,4,0,0,0,0,
240,Karnataka,,,2020-03-20,15,1,1,0,0,
241,Kerala,,,2020-03-20,40,3,0,0,0,
242,Ladakh,,,2020-03-20,10,0,0,0,0,
243,Madhya Pradesh,,,2020-03-20,4,0,0,0,0,
244,Maharashtra,,,2020-03-20,52,0,0,0,0,
245,Odisha,,,2020-03-20,2,0,0,0,0,
246,Puducherry,,,2020-03-20,1,0,0,0,0,
247,Punjab,,,2020-03-20,3,0,0,0,0,
248,Rajasthan,,,2020-03-20,17,0,0,0,0,
249,Tamil Nadu,,,2020-03-20,3,0,0,0,0,
250,Telangana,,,2020-03-20,19,0,0,0,0,
251,Uttar Pradesh,,,2020-03-20,24,0,0,0,0,
252,Uttarakhand,,,2020-03-20,3,0,0,0,0,
253,West Bengal,,,2020-03-20,2,0,0,0,0,
254,Andhra Pradesh,,,2020-03-21,5,0,0,0,0,
255,Chandigarh,,,2020-03-21,5,0,0,0,0,
256,Chhattisgarh,,,2020-03-21,1,0,0,0,0,
257,Delhi,,,2020-03-21,27,0,0,0,0,
258,Gujarat,,,2020-03-21,14,0,0,0,0,
259,Haryana,,,2020-03-21,21,0,0,0,0,
260,Himachal Pradesh,,,2020-03-21,2,0,0,3,0,
261,India,,,2020-03-21,334,4,1,3,16911,
262,Jammu and Kashmir,,,2020-03-21,4,0,0,0,0,
263,Karnataka,,,2020-03-21,20,1,1,0,0,
264,Kerala,,,2020-03-21,52,3,0,0,0,
265,Ladakh,,,2020-03-21,13,0,0,0,0,
266,Madhya Pradesh,,,2020-03-21,4,0,0,0,0,
267,Maharashtra,,,2020-03-21,64,0,0,0,0,
268,Odisha,,,2020-03-21,2,0,0,0,0,
269,Puducherry,,,2020-03-21,1,0,0,0,0,
270,Punjab,,,2020-03-21,13,0,0,0,0,
271,Rajasthan,,,2020-03-21,24,0,0,0,0,
272,Tamil Nadu,,,2020-03-21,6,0,0,0,0,
273,Telangana,,,2020-03-21,21,0,0,0,0,
274,Uttar Pradesh,,,2020-03-21,28,0,0,0,0,
275,Uttarakhand,,,2020-03-21,3,0,0,0,0,
276,West Bengal,,,2020-03-21,4,0,0,0,0,
277,Andhra Pradesh,,,2020-03-22,6,0,0,0,0,
278,Bihar,,,2020-03-22,2,0,0,0,0,
279,Chandigarh,,,2020-03-22,6,0,0,0,0,
280,Chhattisgarh,,,2020-03-22,1,0,0,0,0,
281,Delhi,,,2020-03-22,28,0,0,0,0,
282,Gujarat,,,2020-03-22,18,0,0,0,0,
283,Haryana,,,2020-03-22,21,0,0,0,0,
284,Himachal Pradesh,,,2020-03-22,2,0,0,3,0,
285,India,,,2020-03-22,403,4,1,3,18127,
286,Jammu and Kashmir,,,2020-03-22,4,0,0,0,0,
287,Karnataka,,,2020-03-22,26,1,1,0,0,
288,Kerala,,,2020-03-22,67,3,0,0,0,
289,Ladakh,,,2020-03-22,13,0,0,0,0,
290,Madhya Pradesh,,,2020-03-22,6,0,0,0,0,
291,Maharashtra,,,2020-03-22,74,0,0,0,0,
292,Odisha,,,2020-03-22,2,0,0,0,0,
293,Puducherry,,,2020-03-22,1,0,0,0,0,
294,Punjab,,,2020-03-22,21,0,0,0,0,
295,Rajasthan,,,2020-03-22,29,0,0,0,0,
296,Tamil Nadu,,,2020-03-22,9,0,0,0,0,
297,Telangana,,,2020-03-22,27,0,0,0,0,
298,Uttar Pradesh,,,2020-03-22,30,0,0,0,0,
299,Uttarakhand,,,2020-03-22,3,0,0,0,0,
300,West Bengal,,,2020-03-22,7,0,0,0,0,
301,Andhra Pradesh,,,2020-03-23,7,0,0,0,0,
302,Bihar,,,2020-03-23,3,0,0,0,0,
303,Chandigarh,,,2020-03-23,7,0,0,0,0,
304,Chhattisgarh,,,2020-03-23,1,0,0,0,0,
305,Delhi,,,2020-03-23,30,0,0,0,0,
306,Gujarat,,,2020-03-23,30,0,0,0,0,
307,Haryana,,,2020-03-23,28,0,0,0,0,
308,Himachal Pradesh,,,2020-03-23,3,0,0,3,0,
309,India,,,2020-03-23,497,4,1,3,20707,
310,Jammu and Kashmir,,,2020-03-23,4,0,0,0,0,
311,Karnataka,,,2020-03-23,33,1,1,0,0,
312,Kerala,,,2020-03-23,95,3,0,0,0,
313,Ladakh,,,2020-03-23,13,0,0,0,0,
314,Madhya Pradesh,,,2020-03-23,6,0,0,0,0,
315,Maharashtra,,,2020-03-23,89,0,0,0,0,
316,Odisha,,,2020-03-23,2,0,0,0,0,
317,Puducherry,,,2020-03-23,1,0,0,0,0,
318,Punjab,,,2020-03-23,23,0,0,0,0,
319,Rajasthan,,,2020-03-23,32,0,0,0,0,
320,Tamil Nadu,,,2020-03-23,12,0,0,0,0,
321,Telangana,,,2020-03-23,33,0,0,0,0,
322,Uttar Pradesh,,,2020-03-23,34,0,0,0,0,
323,Uttarakhand,,,2020-03-23,4,0,0,0,0,
324,West Bengal,,,2020-03-23,7,0,0,0,0,
325,Andhra Pradesh,,,2020-03-24,8,0,0,0,0,
326,Bihar,,,2020-03-24,3,0,0,0,0,
327,Chandigarh,,,2020-03-24,7,0,0,0,0,
328,Chhattisgarh,,,2020-03-24,1,0,0,0,0,
329,Delhi,,,2020-03-24,30,0,0,0,0,
330,Gujarat,,,2020-03-24,36,0,0,0,0,
331,Haryana,,,2020-03-24,30,0,0,0,0,
332,Himachal Pradesh,,,2020-03-24,3,0,0,3,0,
333,India,,,2020-03-24,571,6,1,3,22694,
334,Jammu and Kashmir,,,2020-03-24,6,0,0,0,0,
335,Karnataka,,,2020-03-24,41,3,1,0,0,
336,Kerala,,,2020-03-24,109,3,0,0,0,
337,Ladakh,,,2020-03-24,13,0,0,0,0,
338,Madhya Pradesh,,,2020-03-24,7,0,0,0,0,
339,Maharashtra,,,2020-03-24,107,0,0,0,0,
340,Manipur,,,2020-03-24,1,0,0,0,0,
341,Odisha,,,2020-03-24,2,0,0,0,0,
342,Puducherry,,,2020-03-24,1,0,0,0,0,
343,Punjab,,,2020-03-24,29,0,0,0,0,
344,Rajasthan,,,2020-03-24,32,0,0,0,0,
345,Tamil Nadu,,,2020-03-24,18,0,0,0,0,
346,Telangana,,,2020-03-24,39,0,0,0,0,
347,Uttar Pradesh,,,2020-03-24,35,0,0,0,0,
348,Uttarakhand,,,2020-03-24,4,0,0,0,0,
349,West Bengal,,,2020-03-24,9,0,0,0,0,
350,Andhra Pradesh,,,2020-03-25,10,0,0,0,0,
351,Bihar,,,2020-03-25,4,0,0,0,0,
352,Chandigarh,,,2020-03-25,7,0,0,0,0,
353,Chhattisgarh,,,2020-03-25,3,0,0,0,0,
354,Delhi,,,2020-03-25,35,0,0,0,0,
355,Goa,,,2020-03-25,3,0,0,0,0,
356,Gujarat,,,2020-03-25,38,0,0,0,0,
357,Haryana,,,2020-03-25,31,0,0,0,0,
358,Himachal Pradesh,,,2020-03-25,3,0,0,3,0,
359,India,,,2020-03-25,657,6,1,3,25144,
360,Jammu and Kashmir,,,2020-03-25,11,0,0,0,0,
361,Karnataka,,,2020-03-25,51,3,1,0,0,
362,Kerala,,,2020-03-25,118,3,0,0,0,
363,Ladakh,,,2020-03-25,13,0,0,0,0,
364,Madhya Pradesh,,,2020-03-25,15,0,0,0,0,
365,Maharashtra,,,2020-03-25,122,0,0,0,0,
366,Manipur,,,2020-03-25,1,0,0,0,0,
367,Mizoram,,,2020-03-25,1,0,0,0,0,
368,Odisha,,,2020-03-25,2,0,0,0,0,
369,Puducherry,,,2020-03-25,1,0,0,0,0,
370,Punjab,,,2020-03-25,31,0,0,0,0,
371,Rajasthan,,,2020-03-25,38,0,0,0,0,
372,Tamil Nadu,,,2020-03-25,26,0,0,0,0,
373,Telangana,,,2020-03-25,41,0,0,0,0,
374,Uttar Pradesh,,,2020-03-25,38,0,0,0,0,
375,Uttarakhand,,,2020-03-25,5,0,0,0,0,
376,West Bengal,,,2020-03-25,9,0,0,0,0,
377,Andaman and Nicobar Islands,,,2020-03-26,1,0,0,0,0,
378,Andhra Pradesh,,,2020-03-26,11,0,0,0,0,
379,Bihar,,,2020-03-26,7,0,0,0,0,
380,Chandigarh,,,2020-03-26,7,0,0,0,0,
381,Chhattisgarh,,,2020-03-26,6,0,0,0,0,
382,Delhi,,,2020-03-26,39,0,0,0,0,
383,Goa,,,2020-03-26,3,0,0,0,0,
384,Gujarat,,,2020-03-26,44,0,0,0,0,
385,Haryana,,,2020-03-26,32,0,0,0,0,
386,Himachal Pradesh,,,2020-03-26,3,0,0,3,0,
387,India,,,2020-03-26,730,6,2,3,27688,
388,Jammu and Kashmir,,,2020-03-26,14,0,0,0,0,
389,Karnataka,,,2020-03-26,55,3,2,0,0,
390,Kerala,,,2020-03-26,137,3,0,0,0,
391,Ladakh,,,2020-03-26,13,0,0,0,0,
392,Madhya Pradesh,,,2020-03-26,20,0,0,0,0,
393,Maharashtra,,,2020-03-26,125,0,0,0,0,
394,Manipur,,,2020-03-26,1,0,0,0,0,
395,Mizoram,,,2020-03-26,1,0,0,0,0,
396,Odisha,,,2020-03-26,3,0,0,0,0,
397,Puducherry,,,2020-03-26,1,0,0,0,0,
398,Punjab,,,2020-03-26,33,0,0,0,0,
399,Rajasthan,,,2020-03-26,43,0,0,0,0,
400,Tamil Nadu,,,2020-03-26,29,0,0,0,0,
401,Telangana,,,2020-03-26,45,0,0,0,0,
402,Uttar Pradesh,,,2020-03-26,42,0,0,0,0,
403,Uttarakhand,,,2020-03-26,5,0,0,0,0,
404,West Bengal,,,2020-03-26,10,0,0,0,0,
405,Andaman and Nicobar Islands,,,2020-03-27,6,0,0,0,0,
406,Andhra Pradesh,,,2020-03-27,13,0,0,0,0,
407,Bihar,,,2020-03-27,9,0,0,0,0,
408,Chandigarh,,,2020-03-27,8,0,0,0,0,
409,Chhattisgarh,,,2020-03-27,6,0,0,0,0,
410,Delhi,,,2020-03-27,40,0,0,0,0,
411,Goa,,,2020-03-27,3,0,0,0,0,
412,Gujarat,,,2020-03-27,47,0,0,0,0,
413,Haryana,,,2020-03-27,33,0,0,0,0,
414,Himachal Pradesh,,,2020-03-27,3,0,0,3,0,
415,India,,,2020-03-27,883,8,3,3,27688,
416,Jammu and Kashmir,,,2020-03-27,20,0,0,0,0,
417,Karnataka,,,2020-03-27,64,5,3,0,0,
418,Kerala,,,2020-03-27,176,3,0,0,0,
419,Ladakh,,,2020-03-27,13,0,0,0,0,
420,Madhya Pradesh,,,2020-03-27,29,0,0,0,0,
421,Maharashtra,,,2020-03-27,153,0,0,0,0,
422,Manipur,,,2020-03-27,1,0,0,0,0,
423,Mizoram,,,2020-03-27,1,0,0,0,0,
424,Odisha,,,2020-03-27,3,0,0,0,0,
425,Puducherry,,,2020-03-27,1,0,0,0,0,
426,Punjab,,,2020-03-27,38,0,0,0,0,
427,Rajasthan,,,2020-03-27,50,0,0,0,0,
428,Tamil Nadu,,,2020-03-27,38,0,0,0,0,
429,Telangana,,,2020-03-27,59,0,0,0,0,
430,Uttar Pradesh,,,2020-03-27,49,0,0,0,0,
431,Uttarakhand,,,2020-03-27,5,0,0,0,0,
432,West Bengal,,,2020-03-27,15,0,0,0,0,
433,Andaman and Nicobar Islands,,,2020-03-28,9,0,0,0,0,
434,Andhra Pradesh,,,2020-03-28,19,0,0,0,0,
435,Bihar,,,2020-03-28,11,0,0,0,0,
436,Chandigarh,,,2020-03-28,8,0,0,0,0,
437,Chhattisgarh,,,2020-03-28,7,0,0,0,0,
438,Delhi,,,2020-03-28,49,0,0,0,0,
439,Goa,,,2020-03-28,3,0,0,0,0,
440,Gujarat,,,2020-03-28,55,0,0,0,0,
441,Haryana,,,2020-03-28,35,0,0,0,0,
442,Himachal Pradesh,,,2020-03-28,3,0,0,3,0,
443,India,,,2020-03-28,1019,8,3,3,27688,
444,Jammu and Kashmir,,,2020-03-28,33,0,0,0,0,
445,Karnataka,,,2020-03-28,76,5,3,0,0,
446,Kerala,,,2020-03-28,182,3,0,0,0,
447,Ladakh,,,2020-03-28,13,0,0,0,0,
448,Madhya Pradesh,,,2020-03-28,39,0,0,0,0,
449,Maharashtra,,,2020-03-28,181,0,0,0,0,
450,Manipur,,,2020-03-28,1,0,0,0,0,
451,Mizoram,,,2020-03-28,1,0,0,0,0,
452,Odisha,,,2020-03-28,3,0,0,0,0,
453,Puducherry,,,2020-03-28,1,0,0,0,0,
454,Punjab,,,2020-03-28,38,0,0,0,0,
455,Rajasthan,,,2020-03-28,54,0,0,0,0,
456,Tamil Nadu,,,2020-03-28,42,0,0,0,0,
457,Telangana,,,2020-03-28,67,0,0,0,0,
458,Uttar Pradesh,,,2020-03-28,65,0,0,0,0,
459,Uttarakhand,,,2020-03-28,6,0,0,0,0,
460,West Bengal,,,2020-03-28,18,0,0,0,0,
461,Andaman and Nicobar Islands,,,2020-03-29,9,0,0,0,0,
462,Andhra Pradesh,,,2020-03-29,21,1,0,0,0,
463,Bihar,,,2020-03-29,15,0,1,0,0,
464,Chandigarh,,,2020-03-29,8,0,0,0,0,
465,Chhattisgarh,,,2020-03-29,7,0,0,0,0,
466,Delhi,,,2020-03-29,72,6,2,0,0,
467,Goa,,,2020-03-29,5,0,0,0,0,
468,Gujarat,,,2020-03-29,63,1,5,0,0,
469,Haryana,,,2020-03-29,35,14,0,0,0,
470,Himachal Pradesh,,,2020-03-29,3,1,1,3,0,
471,India,,,2020-03-29,1139,99,28,3,27688,
472,Jammu and Kashmir,,,2020-03-29,38,1,1,0,0,
473,Karnataka,,,2020-03-29,83,5,3,0,0,
474,Kerala,,,2020-03-29,202,20,1,0,0,
475,Ladakh,,,2020-03-29,13,3,0,0,0,
476,Madhya Pradesh,,,2020-03-29,39,0,2,0,0,
477,Maharashtra,,,2020-03-29,203,25,8,0,0,
478,Manipur,,,2020-03-29,1,0,0,0,0,
479,Mizoram,,,2020-03-29,1,0,0,0,0,
480,Odisha,,,2020-03-29,3,0,0,0,0,
481,Puducherry,,,2020-03-29,1,0,0,0,0,
482,Punjab,,,2020-03-29,38,1,1,0,0,
483,Rajasthan,,,2020-03-29,59,3,0,0,0,
