"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","571","9","0","4","52"
"2","ALWAR","925","9","0","12","56"
"3","BANSWARA","121","2","0","1","19"
"4","BARAN","135","0","0","1","2"
"5","BARMER","39","0","0","0","0"
"6","BHARATPUR","64","0","0","1","3"
"7","BHILWARA","233","3","0","5","19"
"8","BIKANER","482","2","0","4","23"
"9","BUNDI","45","0","0","3","8"
"10","CHITTORGARH","238","5","0","7","28"
"11","CHURU","132","0","0","0","0"
"12","DAUSA","430","0","0","18","22"
"13","DHOLPUR","153","0","0","0","4"
"14","DUNGARPUR","46","6","0","7","17"
"15","GANGANAGAR","95","0","0","1","2"
"16","HANUMANGARH","142","0","0","1","7"
"17","JAIPUR","1298","23","0","42","177"
"18","JAISALMER","30","0","0","0","2"
"19","JALORE","78","0","0","0","13"
"20","JHALAWAR","347","0","0","0","0"
"21","JHUNJHUNU","397","0","0","0","0"
"22","JODHPUR","318","7","0","21","37"
"23","KARAULI","327","1","0","0","5"
"24","KOTA","691","18","0","11","40"
"25","NAGAUR","371","1","0","3","5"
"26","PALI","515","2","0","6","10"
