"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","792379","8","49870","0","447","0","49366","57"
"2","ALWAR","1621063","6","84810","0","321","1","84432","57"
"3","BANSWARA","321049","0","14771","0","106","0","14665","0"
"4","BARAN","240315","0","15309","0","64","1","15244","1"
"5","BARMER","404854","0","21455","0","205","0","21250","0"
"6","BHARATPUR","476318","0","31451","0","272","0","31179","0"
"7","BHILWARA","508872","9","38215","0","162","4","38038","15"
"8","BIKANER","752050","6","50122","0","587","15","49452","83"
"9","BUNDI","236339","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","453515","3","29415","0","140","3","29259","16"
"11","CHURU","436399","3","20908","0","115","5","20772","21"
"12","DAUSA","295437","0","15859","0","81","0","15764","14"
"13","DHOLPUR","288163","0","13966","0","49","1","13917","0"
"14","DUNGARPUR","327959","0","25499","0","134","0","25364","1"
"15","GANGANAGAR","423174","0","28167","0","158","1","27998","11"
"16","HANUMANGARH","489095","2","22524","0","114","0","22407","3"
"17","JAIPUR","3457400","31","276821","0","2113","46","274426","282"
"18","JAISALMER","242715","0","17036","0","68","0","16968","0"
"19","JALORE","446639","0","10559","0","78","0","10473","8"
"20","JHALAWAR","408223","1","17759","0","207","0","17550","2"
"21","JHUNJHUNU","493494","0","19160","0","181","0","18979","0"
"22","JODHPUR","1429273","21","141247","0","1164","7","140019","64"
"23","KARAULI","241752","0","8968","0","84","0","8884","0"
