"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18942","","3785","","22727",""
"2","Total Active Cases","383 
(2.0%)","","23 
(0.61%)","","406 
(1.8%)",""
"3","Total Cured/ Discharged","18395 
(97.1%)","","3704                                  
(97.9%)","","(97.2%)",""
"4","Total Died","164 
(0.87%)","","58 
(1.5%)","","222 
(0.98%)",""
"5","Total Positive cases admitted in COVID 
Hospital","20","","00","","20",""
"6","Total Positive cases in Home Isolation","257","","23","","280",""
"7","COVID Care Centre","69","","0","","69",""
"8","Facility Isolation","37","","0","","37",""
"9","No. of Samples Tested (Today)","237","","176","","413",""
"10","No. of Samples Positive (Today)","33","","08","","41",""
"11","No. of Samples Negative (Today)","204","","168","","372",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","417 
          00 
      00 
           65 
          482"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(10/01/2022)","","Test Done Today 
(11/01/2022)","","Cumulative"
"","","a)  RTPCR","259544","","216","","259760"
"","","b)  TRUENAT","11318","","24","","11342"
"","","c)  RAT","340476","","157","","340633"
"","","d)  CBNAAT","172","","16","","188"
"","","TOTAL","611510","","413","","611923"
