"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","634287","19623156"
"2","Total No. of patients tested Positive","1353","760429"
"3","No. of patients discharged","1299","742549"
"4","Total Deaths reported","7","17753"
"5","Sample collected on the day","","7759"
"6","Test conducted on the day","","7938"
"7","Positive cases on the day","","28"
"8","Number of active Cases","","127"
"9","No. of Patients on oxygen support","","2"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218631"
"14","Frontline Workers vaccinated with 1st dose on the day","","13"
"15","Total Frontline Workers vaccinated with 1st dose","","1117332"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","13"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210177"
"18","Frontline Workers vaccinated with 2nd dose on the day","","96"
"19","Total Frontline Workers vaccinated with 2nd dose","","1012638"
"20","Above 45 Vaccinated with 1st dose on the day","","393"
"21","Total Above 45 Vaccinated with 1st dose","","8315565"
"22","Above 45 Vaccinated with 2nd dose on the day","","6635"
"23","Total Above 45 Vaccinated with 2nd dose","","7294750"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1318"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12562977"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","13734"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9927343"
"28","15-17 years age group Vaccinated with 1st dose on the day","","565"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1077348"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2481"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","718397"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1228"
"33","Total 12-14 years age group Vaccinated with 1st dose","","579100"
"34","12-14 years age group Vaccinated with 2nddose on the day","","3807"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","284698"
"36","Precautionary dose given on the day","","3854"
"37","Total Precautionary dose given","","653035"
"38","Total Vaccination 1st dose on the day","","1724"
"39","Total Vaccination 2nd dose on the day","","20478"
"40","Total Vaccination 1st and 2nd dose on the day","","22202"
