"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","175","109952","170","107659","2","2281","12"
"2","SAS Nagar","370","96059","334","94867","1","1149","43"
"3","Jalandhar","129","78399","108","76808","0","1578","13"
"4","Patiala","216","62247","212","60784","0","1457","6"
"5","Amritsar","80","59477","79","57787","0","1682","8"
"6","Bathinda","53","50922","48","49826","0","1088","8"
"7","Hoshiarpur","57","40897","65","39797","0","1096","4"
"8","Gurdaspur","20","26959","19","26092","1","865","2"
"9","Pathankot","45","24578","46","24079","0","495","4"
"10","Fazilka","28","23426","40","22879","0","545","2"
"11","Muktsar","10","22564","11","22021","0","539","4"
"12","Kapurthala","38","22073","31","21483","1","583","7"
"13","Ropar","30","17968","29","17512","0","455","1"
"14","Ferozepur","17","17916","18","17378","0","537","1"
"15","Mansa","6","17234","5","16841","1","393","0"
"16","Faridkot","28","16811","28","16469","0","338","4"
"17","Sangrur","0","14309","1","13574","0","735","0"
"18","SBS Nagar","20","13422","25","13013","0","409","0"
"19","FG Sahib","12","11846","8","11488","0","354","4"
"20","Moga","7","10995","7","10738","1","255","2"
"21","Tarn Taran","4","10902","3","10508","0","394","0"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","1","3969","0","3791","0","176","2"
"","Total","1353","760429","1299","742549","7","17753","127"
