"1","Total Samples taken","19126826"
"2","Sample collected on the day","5809"
"3","Test conducted on the day","7918"
"4","Total No. of patients tested Positive","759243"
"5","No. of patients discharged","741443"
"6","Positive cases on the day","9"
"7","Number of active Cases","57"
"8","Total Deaths reported","17743"
"9","No. of Patients on oxygen support","2"
"10","Patients at critical care Level-3 facilities","1"
"11","Patients who are critical and on ventilator support","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","1"
"13","Total Healthcare Workers vaccinated with 1st dose","218506"
"14","Frontline Workers vaccinated with 1st dose on the day","2"
"15","Total Frontline Workers vaccinated with 1st dose","1116902"
"16","Healthcare Workers vaccinated with 2nd dose on the day","3"
"17","Total Healthcare Workers vaccinated with 2nd dose","209006"
"18","Frontline Workers vaccinated with 2nd dose on the day","36"
"19","Total Frontline Workers vaccinated with 2nd dose","1008076"
"20","Above 45 Vaccinated with 1st dose on the day","168"
"21","Total Above 45 Vaccinated with 1st dose","8271690"
"22","Above 45 Vaccinated with 2nd dose on the day","1615"
"23","Total Above 45 Vaccinated with 2nd dose","6852683"
"24","18-44 years age group Vaccinated with 1st dose on the day","383"
"25","Total 18-44 years age group Vaccinated with 1st dose","12435828"
"26","18-44 years age group Vaccinated with 2nd dose on the day","3291"
"27","Total 18-44 years age group Vaccinated with 2nd dose","9005111"
"28","15-17 years age group Vaccinated with 1st dose on the day","198"
"29","Total 15-17 years age group Vaccinated with 1st dose","993121"
"30","15-17 years age group Vaccinated with 2nd dose on the day","846"
"31","Total 15-17 years age group Vaccinated with 2nddose","525190"
"32","12-14 years age group Vaccinated with 1st dose on the day","184"
"33","Total 12-14 years age group Vaccinated with 1st dose","352536"
"34","12-14 years age group Vaccinated with 2nddose on the day","6"
"35","Total 12-14 years age group Vaccinated with 2nddose","331"
"36","Precautionary dose given on the day","885"
"37","Total Precautionary dose given","476655"
"38","Total Vaccination 1st dose on the day","554"
"39","Total Vaccination 2nd dose on the day","4945"
"40","Total Vaccination 1st and 2nd dose on the day","5499"
