"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","218","109994","180","107669","3","2282","43"
"2","SAS Nagar","458","96147","377","94910","1","1149","88"
"3","Jalandhar","150","78420","122","76822","0","1578","20"
"4","Patiala","235","62266","220","60792","0","1457","17"
"5","Amritsar","92","59489","87","57795","0","1682","12"
"6","Bathinda","61","50929","55","49833","0","1088","8"
"7","Hoshiarpur","69","40909","74","39806","0","1096","7"
"8","Gurdaspur","22","26961","21","26094","1","865","2"
"9","Pathankot","51","24583","50","24083","0","495","5"
"10","Fazilka","30","23428","42","22881","0","545","2"
"11","Muktsar","13","22567","12","22022","0","539","6"
"12","Kapurthala","41","22076","38","21490","1","583","3"
"13","Ropar","35","17973","30","17513","0","455","5"
"14","Ferozepur","19","17918","19","17379","0","537","2"
"15","Mansa","6","17234","5","16841","1","393","0"
"16","Faridkot","33","16816","34","16475","0","338","3"
"17","Sangrur","0","14309","1","13574","0","735","0"
"18","SBS Nagar","22","13424","26","13014","0","409","1"
"19","FG Sahib","19","11853","12","11492","0","354","7"
"20","Moga","7","10995","9","10740","1","255","0"
"21","Tarn Taran","6","10904","3","10508","0","394","2"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","1","3969","0","3791","0","176","2"
"","Total","1595","760668","1429","742679","8","17754","235"
