"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","694511","19683380"
"2","Total No. of patients tested Positive","1595","760668"
"3","No. of patients discharged","1429","742679"
"4","Total Deaths reported","8","17754"
"5","Sample collected on the day","","10400"
"6","Test conducted on the day","","10099"
"7","Positive cases on the day","","65"
"8","Number of active Cases","","235"
"9","No. of Patients on oxygen support","","6"
"10","Patients at critical care Level-3 facilities","","3"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218644"
"14","Frontline Workers vaccinated with 1st dose on the day","","12"
"15","Total Frontline Workers vaccinated with 1st dose","","1117383"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","52"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210332"
"18","Frontline Workers vaccinated with 2nd dose on the day","","104"
"19","Total Frontline Workers vaccinated with 2nd dose","","1013118"
"20","Above 45 Vaccinated with 1st dose on the day","","648"
"21","Total Above 45 Vaccinated with 1st dose","","8319363"
"22","Above 45 Vaccinated with 2nd dose on the day","","8551"
"23","Total Above 45 Vaccinated with 2nd dose","","7343762"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1593"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12572472"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","18887"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10027430"
"28","15-17 years age group Vaccinated with 1st dose on the day","","473"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1080471"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2671"
"31","Total 15-17 years age group Vaccinated with 2nddose","","732641"
"32","12-14 years age group Vaccinated with 1st dose on the day","","986"
"33","Total 12-14 years age group Vaccinated with 1st dose","","586325"
"34","12-14 years age group Vaccinated with 2nddose on the day","","3220"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","304245"
"36","Precautionary dose given on the day","","5289"
"37","Total Precautionary dose given","","680282"
"38","Total Vaccination 1st dose on the day","","2253"
"39","Total Vaccination 2nd dose on the day","","27594"
"40","Total Vaccination 1st and 2nd dose on the day","","29847"
