"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","21917","","5025","","26942",""
"2","Total Active Cases","580 
(2.6%)","","407 
(8.1%)","","987 
(3.7%)",""
"3","Total Cured/ Discharged","21170 
(96.6%)","","4559                                  
(90.7%)","","(95.5%)",""
"4","Total Died","167 
(0.76%)","","59 
(1.2%)","","226 
(0.84%)",""
"5","Total Positive cases admitted in COVID 
Hospital","23","","6","","29",""
"6","Total Positive cases in Home Isolation","430","","399","","829",""
"7","COVID Care Centre","117","","01","","118",""
"8","Facility Isolation","10","","0","","10",""
"9","No. of Samples Tested (Today)","645","","433","","1078",""
"10","No. of Samples Positive (Today)","96","","25","","121",""
"11","No. of Samples Negative (Today)","546","","408","","954",""
"12","Repeat Positive/ Resampling (Today)","03","","00","","03",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","00 
      00 
      00 
      50 
      50"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(05/01/2022)","","Test Done Today 
(06/02/2022)","","Cumulative"
"","","a)  RTPCR","282037","","1018","","283055"
"","","b)  TRUENAT","11799","","22","","11821"
"","","c)  RAT","344553","","38","","344591"
"","","d)  CBNAAT","454","","00","","454"
"","","TOTAL","638843","","1078","","639921"
