"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23385","","5285","","28670",""
"2","Total Active Cases","91 
(0.39%)","","01 
(0.02%)","","92 
(0.32%)",""
"3","Total Cured/Discharged","23126 
(98.89%)","","5224 
(98.8%)","","28350 
(98.9%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","14","","00","","14",""
"6","Total Positive cases in Home Isolation","69","","01","","70",""
"7","COVID Care Centre","01","","00","","01",""
"8","Facility Isolation","07","","00","","07",""
"9","No. of Samples Tested (Today)","256","","48","","304",""
"10","No. of Samples Positive (Today)","21","","01","","22",""
"11","No. of Samples Negative (Today)","233","","47","","280",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","53 
14 
20 
02 
89"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(18/07/2022)","","Test Done Today 
(19/07/2022)","","Cumulative"
"","","a)RTPCR","329957","","207","","330164"
"","","b)TRUENAT","14550","","16","","14566"
"","","c)RAT","352304","","81","","352385"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","697916","","304","","698220"
