"Total No. of Sample Taken Today","10071"
"Total No. of Positive Cases Detected Today","47"
"Total Active COVID-19 Patients","306"
"Total No. of Active Cases under Home Isolation (28-03-2022)","287"
"Total No. of Samples found Positive till date","985066"
"Total Positive COVID-19 Patients Recovered / Discharged till date","974125"
"No. of Deaths","10612"
"Total No. of People Vaccinated Today","30361  
(1st Dose: 12279 
2nd Dose: 16008 
Precaution Dose: 2074)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23117778 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 87% for 18yrs above population)","18429311 (87%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","269774"
"Cumulative Coverage of Total COVID-19 Vaccination","41816863"
"COVID-19 Today (28-03-2022) Positivity Rate","0.38%"
"Recovery Rate","98.89%"
"Fatality Rate","1.08%"
"Tests Per Million Population","671530"
