"Total No. of Sample Taken Today","9415"
"Total No. of Positive Cases Detected Today","821"
"Total Active COVID-19 Patients","4575"
"Total No. of Active Cases under Home Isolation (08-08-2022)","4408"
"Total No. of Samples found Positive till date","1036795"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1021547"
"No. of Deaths","10650"
"Total No. of People Vaccinated Today","16646 
(1st Dose: 910 
2nd Dose: 3515 
Precaution Dose: 12221)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23630694 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 88% for 15yrs above population)","19692072 (88%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1554479"
"Cumulative Coverage of Total COVID-19 Vaccination","44877245"
"COVID-19 Today (08-08-2022) Positivity Rate","6.96%"
"Recovery Rate","98.53%"
"Fatality Rate","1.03%"
