"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","505"
"2","Number of persons tested positive today in Tamil Nadu","44"
"3","Total Number of persons tested positive till date","34,52,534"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","30,455/ 
6,53,57,953@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","30,430/ 
6,41,81,613"
"6","No. of Male / Female / Transgender tested positive today","20/24/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,004/14,37,492/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","334 (69 Govt+ 
265 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","74/ 
34,14,004"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
