"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22975","","5281","","28256",""
"2","Total Active Cases","07 
(0.03%)","","01 
(0.02%)","","08 
(0.03%)",""
"3","Total Cured/Discharged","22800 
(99.2%)","","5220 
(98.8%)","","28020 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","0","","03",""
"6","Total Positive cases in Home Isolation","02","","01","","03",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","123","","55","","178",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","123","","55","","178",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","57 
47 
11 
00 
115"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(13/05/2022)","","Test Done Today 
(14/05/2022)","","Cumulative"
"","","a)RTPCR","320967","","107","","321074"
"","","b)TRUENAT","13867","","15","","13882"
"","","c)RAT","348601","","56","","348657"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","684540","","178","","684718"
