,Unnamed: 0,Unnamed: 0.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,2021-10-31,UT,5,0,9,9524,1067,13216,0,0,75.0,1.0,74.0,83377.0,25232.0,258182.0,0.0,Almora,0,0,0,149530,37,416,0,0,7.0,0.0,7.0,149530.0,729.0,10440.0,0,621927,,,614 cases were recorded as Migrated / Others,12190,196,11378,233973.0,378242,215715,0,614,2022-01-22T02:22:23.812936+05:30,11141000,,,6150 cases were recorded as Migrated / Others,343896,7400,330195,7781148,7477999,3898139,0,6150,6150.0,614.0
1,1,1,2021-10-31,UT,5,0,9,9524,1067,13216,0,0,75.0,1.0,74.0,83377.0,25232.0,258182.0,0.0,Bageshwar,0,0,0,145593,75,1286,0,0,1.0,0.0,0.0,145593.0,371.0,6323.0,0,259840,,,25 cases were recorded as Migrated / Others,5764,60,5678,201219.0,183447,131244,0,25,2022-01-22T02:22:23.812936+05:30,11141000,,,6150 cases were recorded as Migrated / Others,343896,7400,330195,7781148,7477999,3898139,0,6150,6150.0,25.0
2,2,2,2021-10-31,UT,5,0,9,9524,1067,13216,0,0,75.0,1.0,74.0,83377.0,25232.0,258182.0,0.0,Chamoli,0,0,0,191654,13,268,0,0,4.0,0.0,4.0,191654.0,822.0,11652.0,0,391114,,,204 cases were recorded as Migrated / Others,12242,62,11972,282044.0,273850,191420,0,204,2022-01-22T02:22:23.812936+05:30,11141000,,,6150 cases were recorded as Migrated / Others,343896,7400,330195,7781148,7477999,3898139,0,6150,6150.0,204.0
3,3,3,2021-10-31,UT,5,0,9,9524,1067,13216,0,0,75.0,1.0,74.0,83377.0,25232.0,258182.0,0.0,Champawat,1,0,0,136118,44,613,0,0,3.0,0.0,0.0,136118.0,754.0,6007.0,0,259315,,,189 cases were recorded as Migrated / Others,7603,53,7358,231186.0,183354,119870,0,189,2022-01-22T02:22:23.812936+05:30,11141000,,,6150 cases were recorded as Migrated / Others,343896,7400,330195,7781148,7477999,3898139,0,6150,6150.0,189.0
4,4,4,2021-10-31,UT,5,0,9,9524,1067,13216,0,0,75.0,1.0,74.0,83377.0,25232.0,258182.0,0.0,Dehradun,3,0,4,1477183,308,3611,0,0,30.0,0.0,24.0,1477183.0,5963.0,49795.0,0,1698560,,,598 cases were recorded as Migrated / Others,112363,3521,108137,1878679.0,1465464,793803,0,598,2022-01-22T02:22:23.812936+05:30,11141000,,,6150 cases were recorded as Migrated / Others,343896,7400,330195,7781148,7477999,3898139,0,6150,6150.0,598.0
5,5,5,2021-10-31,UT,5,0,9,9524,1067,13216,0,0,75.0,1.0,74.0,83377.0,25232.0,258182.0,0.0,Haridwar,1,0,0,1696000,224,1907,0,0,10.0,1.0,8.0,1696000.0,3960.0,52191.0,0,1927029,,,1376 cases were recorded as Migrated / Others,51498,1019,49096,2065542.0,1456257,635360,0,1376,2022-01-22T02:22:23.812936+05:30,11141000,,,6150 cases were recorded as Migrated / Others,343896,7400,330195,7781148,7477999,3898139,0,6150,6150.0,1376.0
6,6,6,2021-10-31,UT,5,0,9,9524,1067,13216,0,0,75.0,1.0,74.0,83377.0,25232.0,258182.0,0.0,Nainital,0,0,3,347667,31,288,0,0,10.0,0.0,14.0,347667.0,2285.0,16850.0,0,955128,,,134 cases were recorded as Migrated / Others,39232,944,38140,552089.0,722854,398680,0,134,2022-01-22T02:22:23.812936+05:30,11141000,,,6150 cases were recorded as Migrated / Others,343896,7400,330195,7781148,7477999,3898139,0,6150,6150.0,134.0
7,7,7,2021-10-31,UT,5,0,9,9524,1067,13216,0,0,75.0,1.0,74.0,83377.0,25232.0,258182.0,0.0,Pauri Garhwal,0,0,0,242659,25,108,0,0,3.0,0.0,5.0,242659.0,2116.0,14253.0,0,686527,,,701 cases were recorded as Migrated / Others,17686,315,16668,381537.0,431320,229262,0,701,2022-01-22T02:22:23.812936+05:30,11141000,,,6150 cases were recorded as Migrated / Others,343896,7400,330195,7781148,7477999,3898139,0,6150,6150.0,701.0
8,8,8,2021-10-31,UT,5,0,9,9524,1067,13216,0,0,75.0,1.0,74.0,83377.0,25232.0,258182.0,0.0,Pithoragarh,0,0,1,143013,89,609,0,0,3.0,0.0,6.0,143013.0,930.0,10608.0,0,485993,,,108 cases were recorded as Migrated / Others,10260,181,9962,215699.0,318644,183765,0,108,2022-01-22T02:22:23.812936+05:30,11141000,,,6150 cases were recorded as Migrated / Others,343896,7400,330195,7781148,7477999,3898139,0,6150,6150.0,108.0
9,9,9,2021-10-31,UT,5,0,9,9524,1067,13216,0,0,75.0,1.0,74.0,83377.0,25232.0,258182.0,0.0,Rudraprayag,0,0,1,139068,30,326,0,0,0.0,0.0,3.0,139068.0,416.0,6212.0,0,236857,,,159 cases were recorded as Migrated / Others,8800,106,8535,191446.0,170911,113480,0,159,2022-01-22T02:22:23.812936+05:30,11141000,,,6150 cases were recorded as Migrated / Others,343896,7400,330195,7781148,7477999,3898139,0,6150,6150.0,159.0
