"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,995"
"2","Number of persons tested positive today in Tamil Nadu","497"
"","Passengers returned from other countries  by 
International airport tested positive today","UK-1"
"","Total","498"
"3","Total Number of persons tested positive till date","35,77,312"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","16,005/ 
6,92,47,819@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","15,862/ 
6,80,31,388"
"6","No. of Male / Female / Transgender tested positive today","272/226/0"
"7","No. of Male / Female / Transgender tested positive till date","20,86,085/14,91,189/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","429/ 
35,34,277"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,040"
