"S.No","District","Cumulative 
Sample","Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dischar
ged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","738393","214","48439","0","428","448","46267","1744"
"2","ALWAR","1456269","245","82974","0","317","539","80053","2604"
"3","BANSWARA","286577","130","13619","0","105","183","12345","1169"
"4","BARAN","207759","78","14752","0","62","143","14007","683"
"5","BARMER","386462","45","21223","0","198","113","20437","588"
"6","BHARATPUR","449624","99","30835","0","269","413","29568","998"
"7","BHILWARA","474787","129","37334","0","160","207","35304","1870"
"8","BIKANER","682424","97","48845","0","571","189","47478","796"
"9","BUNDI","213081","43","9522","0","52","83","9038","432"
"10","CHITTORGARH","431532","112","28829","0","140","178","28470","219"
"11","CHURU","393227","84","20113","0","112","97","19317","684"
"12","DAUSA","259579","26","15560","0","74","32","15168","318"
"13","DHOLPUR","261470","40","13510","0","49","134","12860","601"
"14","DUNGARPUR","316176","79","24979","0","134","364","23572","1273"
"15","GANGANAGAR","393353","217","26731","0","156","268","24232","2343"
"16","HANUMANGARH","460749","60","21872","0","114","191","20992","766"
"17","JAIPUR","3058307","803","263752","4","2078","2402","250590","11084"
"18","JAISALMER","233749","87","16442","0","68","180","15913","461"
"19","JALORE","425537","29","10487","0","77","16","10317","93"
"20","JHALAWAR","346180","69","17127","0","199","119","16540","388"
"21","JHUNJHUNU","454894","131","18138","1","175","169","17006","957"
"22","JODHPUR","1319957","365","138013","1","1150","616","133663","3200"
"23","KARAULI","217606","43","8536","0","83","46","8271","182"
