"S. No","Subject","Number"
"1","Total Number of people vaccinated on 27th Feb","1,29,010"
"2","First Dose on 27th Feb","9,617"
"3","Second Dose on 27th Feb","1,12,605"
"4","Precaution Dose on 27th Feb","6,788"
"5","Cumulative Vaccination till 27th Feb","12,92,10,917"
"6","Cumulative Vaccination First Dose","6,96,82,066"
"7","Cumulative Vaccination Second Dose","5,79,16,693"
"8","Cumulative Precaution Dose","16,12,158"
"9","Number of CVC (Common Vaccination Centres)","2,991"
"10","Cumulative AEFI cases reported","6,954"
"11","Vaccine wastage","-7%"
