"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23812","","5331","","29143",""
"2","Total Active Cases","61 
(0.26%)","","08 
(0.15%)","","69 
(0.24%)",""
"3","Total Cured/Discharged","23582 
(99%)","","5263 
(98.7%)","","28845 
(98.9%)",""
"4","Total Died","169 
(0.71%)","","60 
(1.1%)","","229 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","12","","01","","13",""
"6","Total Positive cases in Home Isolation","48","","07","","55",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","419","","75","","494",""
"10","No. of Samples Positive (Today)","07","","02","","09",""
"11","No. of Samples Negative (Today)","412","","73","","485",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","55 
00 
04 
00 
59"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(19/08/2022)","","Test Done Today 
(20/08/2022)","","Cumulative"
"","","a)RTPCR","35208","","106","","35314"
"","","b)TRUENAT","14839","","09","","14848"
"","","c)RAT","359215","","372","","359587"
"","","d)  CBNAAT","1214","","07","","1221"
"","","TOTAL","710476","","494","","710970"
