"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","1098","6","0","5","172"
"2","ALWAR","1587","150","0","53","728"
"3","BANSWARA","271","2","0","7","22"
"4","BARAN","179","3","0","4","7"
"5","BARMER","42","2","0","1","8"
"6","BHARATPUR","940","24","0","1","238"
"7","BHILWARA","588","2","0","8","30"
"8","BIKANER","890","3","0","7","38"
"9","BUNDI","177","9","0","0","55"
"10","CHITTORGARH","506","40","0","10","202"
"11","CHURU","147","0","0","1","3"
"12","DAUSA","632","17","0","27","154"
"13","DHOLPUR","192","7","0","7","31"
"14","DUNGARPUR","101","8","0","13","67"
"15","GANGANAGAR","205","0","0","1","7"
"16","HANUMANGARH","268","1","0","2","7"
"17","JAIPUR","2725","120","0","171","1377"
"18","JAISALMER","119","5","0","1","32"
"19","JALORE","73","7","0","7","24"
"20","JHALAWAR","439","6","0","7","33"
"21","JHUNJHUNU","1025","0","0","0","1"
"22","JODHPUR","570","33","0","61","140"
"23","KARAULI","353","0","0","0","0"
"24","KOTA","494","4","0","18","68"
"25","NAGAUR","640","11","0","38","81"
"26","PALI","1451","14","0","0","37"
