"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","733013","344","47752","1","426","385","45292","2034"
"2","ALWAR","1445968","417","81930","0","317","1191","78360","3253"
"3","BANSWARA","284333","168","13263","0","105","46","11919","1239"
"4","BARAN","205622","122","14434","0","62","76","13605","767"
"5","BARMER","384457","53","21086","0","196","162","20069","821"
"6","BHARATPUR","446343","167","30521","1","268","84","28282","1971"
"7","BHILWARA","471385","297","36808","0","158","213","34461","2189"
"8","BIKANER","678108","152","48477","0","568","103","46941","968"
"9","BUNDI","211106","74","9360","1","52","48","8838","470"
"10","CHITTORGARH","428455","194","28490","0","140","238","27530","820"
"11","CHURU","389931","139","19840","1","112","0","18965","763"
"12","DAUSA","256836","39","15443","1","73","96","15046","324"
"13","DHOLPUR","259730","46","13334","0","49","129","12485","800"
"14","DUNGARPUR","313423","360","24490","1","134","91","22802","1554"
"15","GANGANAGAR","390213","205","26038","1","156","139","22524","3358"
"16","HANUMANGARH","458207","148","21542","0","114","35","20364","1064"
"17","JAIPUR","3031350","1862","261091","6","2062","1039","244050","14979"
"18","JAISALMER","232410","34","16143","0","68","105","15575","500"
"19","JALORE","423370","9","10446","0","77","20","10280","89"
"20","JHALAWAR","343556","101","16942","0","199","160","16141","602"
"21","JHUNJHUNU","450587","146","17735","1","174","137","16679","882"
"22","JODHPUR","1310180","765","136530","3","1146","707","131160","4224"
"23","KARAULI","214866","40","8414","1","80","0","8107","227"
