"Total No. of Sample Taken Today","11524"
"Total No. of Positive Cases Detected Today","188"
"Total Active COVID-19 Patients","837"
"Total No. of Active Cases under Home Isolation (02-06-2022)","820"
"Total No. of Samples found Positive till date","1003116"
"Total Positive COVID-19 Patients Recovered / Discharged till date","991635"
"No. of Deaths","10621"
"Total No. of People Vaccinated Today","4389 
(1st Dose: 549 
2nd Dose: 1740 
Precaution Dose: 2100)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23537447(100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 86% for 15yrs above population)","19262504 (86%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","700675"
"Cumulative Coverage of Total COVID-19 Vaccination","43500626"
"COVID-19 Today (02-06-2022) Positivity Rate","1.49%"
"Recovery Rate","98.86%"
"Fatality Rate","1.06%"
