"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17884","","3644","","21528",""
"2","Total Active Cases","246 
(1.38%)","","22 
(0.60%)","","268 
(1.2%)",""
"3","Total Cured/ Discharged","17483 
(97.8%)","","3564                                  
(97.8%)","","(97.8%)",""
"4","Total Died","155 
(0.87%)","","58 
(1.6%)","","213 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","35","","00","","35",""
"6","Total Positive cases in Home Isolation","181","","22","","203",""
"7","COVID Care Centre","15","","0","","15",""
"8","Facility Isolation","15","","0","","15",""
"9","No. of Samples Tested (Today)","475","","493","","968",""
"10","No. of Samples Positive (Today)","32","","02","","34",""
"11","No. of Samples Negative (Today)","441","","491","","932",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","70 
            00 
       00 
            11 
            81"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(27/11/2021)","","Test Done Today 
(28/11/2021)","","Cumulative"
"","","a)  RTPCR","229239","","905","","230144"
"","","b)  TRUENAT","11046","","05","","11051"
"","","c)  RAT","331347","","58","","331405"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","571804","","968","","572772"
