"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","793372","10","49908","0","447","7","49395","66"
"2","ALWAR","1623998","12","84846","0","321","15","84472","53"
"3","BANSWARA","321412","1","14774","0","106","0","14665","3"
"4","BARAN","240817","0","15311","0","64","1","15245","2"
"5","BARMER","405103","0","21457","0","205","0","21250","2"
"6","BHARATPUR","476332","0","31451","0","272","0","31179","0"
"7","BHILWARA","509266","6","38235","0","162","0","38040","33"
"8","BIKANER","754062","22","50183","0","588","19","49494","101"
"9","BUNDI","236516","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","453915","1","29420","0","140","1","29268","12"
"11","CHURU","436761","3","20919","0","115","1","20784","20"
"12","DAUSA","296001","0","15874","0","81","0","15778","15"
"13","DHOLPUR","288680","0","13966","0","49","0","13917","0"
"14","DUNGARPUR","328000","0","25499","0","134","1","25365","0"
"15","GANGANAGAR","423263","0","28170","0","158","0","28001","11"
"16","HANUMANGARH","489198","0","22525","0","114","0","22408","3"
"17","JAIPUR","3463425","66","277027","0","2113","64","274586","328"
"18","JAISALMER","242752","0","17036","0","68","0","16968","0"
"19","JALORE","447161","1","10560","0","78","0","10474","8"
"20","JHALAWAR","410206","2","17762","0","207","0","17552","3"
"21","JHUNJHUNU","493625","0","19161","0","181","0","18979","1"
"22","JODHPUR","1430433","24","141318","0","1164","7","140052","102"
"23","KARAULI","242208","0","8968","0","84","0","8884","0"
