"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1187045","20177508"
"2","Total No. of patients tested Positive","11428","771997"
"3","No. of patients discharged","8558","748833"
"4","Total Deaths reported","64","20370"
"5","Sample collected on the day","","12388"
"6","Test conducted on the day","","12122"
"7","Positive cases on the day","","584"
"8","Number of active Cases","","2794"
"9","No. of Patients on oxygen support","","73"
"10","Patients at critical care Level-3 facilities","","13"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218786"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117683"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","16"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211418"
"18","Frontline Workers vaccinated with 2nd dose on the day","","60"
"19","Total Frontline Workers vaccinated with 2nd dose","","1017180"
"20","Above 45 Vaccinated with 1st dose on the day","","258"
"21","Total Above 45 Vaccinated with 1st dose","","8336887"
"22","Above 45 Vaccinated with 2nd dose on the day","","2519"
"23","Total Above 45 Vaccinated with 2nd dose","","7577508"
"24","18-44 years age group Vaccinated with 1st dose on the day","","770"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12624633"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","5855"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10515901"
"28","15-17 years age group Vaccinated with 1st dose on the day","","275"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1101566"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1337"
"31","Total 15-17 years age group Vaccinated with 2nddose","","821788"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1398"
"33","Total 12-14 years age group Vaccinated with 1st dose","","637527"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1389"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","421084"
"36","Precautionary dose given on the day","","19354"
"37","Total Precautionary dose given","","1017461"
"38","Total Vaccination 1st dose on the day","","1031"
"39","Total Vaccination 2nd dose on the day","","8450"
"40","Total Vaccination 1st and 2nd dose on the day","","9481"
