"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23289","","5284","","28573",""
"2","Total Active Cases","54 
(0.23%)","","00 
(0%)","","54 
(0.19%)",""
"3","Total Cured/Discharged","23067 
(99%)","","5224 
(98.9%)","","28291 
(99%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","11","","00","","11",""
"6","Total Positive cases in Home Isolation","41","","00","","41",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","88","","48","","136",""
"10","No. of Samples Positive (Today)","03","","00","","03",""
"11","No. of Samples Negative (Today)","85","","48","","133",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","64 
35 
23 
00 
122"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(10/07/2022)","","Test Done Today 
(11/07/2022)","","Cumulative"
"","","a)RTPCR","328981","","51","","329032"
"","","b)TRUENAT","14463","","11","","14474"
"","","c)RAT","351372","","74","","351446"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","695921","","136","","696057"
