"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1109213","*20099676"
"2","Total No. of patients tested Positive","8375","768959"
"3","No. of patients discharged","6354","746629"
"4","Total Deaths reported","**57","20363"
"5","Sample collected on the day","","12732"
"6","Test conducted on the day","","12332"
"7","Positive cases on the day","","459"
"8","Number of active Cases","","1967"
"9","No. of Patients on oxygen support","","56"
"10","Patients at critical care Level-3 facilities","","6"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","2"
"13","Total Healthcare Workers vaccinated with 1st dose","","218766"
"14","Frontline Workers vaccinated with 1st dose on the day","","3"
"15","Total Frontline Workers vaccinated with 1st dose","","1117653"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","52"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211282"
"18","Frontline Workers vaccinated with 2nd dose on the day","","97"
"19","Total Frontline Workers vaccinated with 2nd dose","","1016647"
"20","Above 45 Vaccinated with 1st dose on the day","","573"
"21","Total Above 45 Vaccinated with 1st dose","","8334432"
"22","Above 45 Vaccinated with 2nd dose on the day","","4046"
"23","Total Above 45 Vaccinated with 2nd dose","","7557504"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1880"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12616394"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","9152"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10469930"
"28","15-17 years age group Vaccinated with 1st dose on the day","","356"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1098548"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1547"
"31","Total 15-17 years age group Vaccinated with 2nddose","","811688"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1364"
"33","Total 12-14 years age group Vaccinated with 1st dose","","627888"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2578"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","406381"
"36","Precautionary dose given on the day","","16889"
"37","Total Precautionary dose given","","878306"
"38","Total Vaccination 1st dose on the day","","2458"
"39","Total Vaccination 2nd dose on the day","","13347"
"40","Total Vaccination 1st and 2nd dose on the day","","15805"
