"S. No","Subject","Number"
"1","Total Number of people vaccinated on 20th Feb","2,49,505"
"2","First Dose on 20th Feb","18,739"
"3","Second Dose on 20th Feb","2,15,851"
"4","Precaution Dose on 20th Feb","14,915"
"5","Cumulative Vaccination till 20th Feb","12,76,89,195"
"6","Cumulative Vaccination First Dose","6,95,69,520"
"7","Cumulative Vaccination Second Dose","5,65,89,157"
"8","Cumulative Precaution Dose","15,30,518"
"9","Number of CVC (Common Vaccination Centres)","3,677"
"10","Cumulative AEFI cases reported","6,938"
"11","Vaccine wastage","-7%"
