"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","726769","192","46860","1","424","391","44052","2384"
"2","ALWAR","1433832","347","80713","0","316","754","74294","6103"
"3","BANSWARA","281869","183","12874","0","104","219","11456","1314"
"4","BARAN","202462","100","14169","0","62","130","13203","904"
"5","BARMER","381508","69","20874","0","196","130","19668","1010"
"6","BHARATPUR","442248","94","29932","0","264","141","27115","2553"
"7","BHILWARA","466482","232","36166","0","157","425","33739","2270"
"8","BIKANER","672191","114","48058","0","568","110","46367","1123"
"9","BUNDI","208869","26","9130","1","51","64","8661","418"
"10","CHITTORGARH","424429","45","27671","0","139","336","26541","991"
"11","CHURU","385942","21","19427","1","111","0","18613","703"
"12","DAUSA","253398","62","15337","0","70","112","14835","432"
"13","DHOLPUR","257377","94","13137","0","49","108","12119","969"
"14","DUNGARPUR","309120","173","23668","0","133","239","22077","1458"
"15","GANGANAGAR","386578","134","25091","0","153","297","21743","3195"
"16","HANUMANGARH","454970","12","21114","0","114","359","19674","1326"
"17","JAIPUR","2998254","1578","256055","8","2047","3663","237269","16739"
"18","JAISALMER","231278","180","15971","0","68","84","15319","584"
"19","JALORE","420671","10","10414","0","77","29","10182","155"
"20","JHALAWAR","340852","152","16620","1","199","237","15686","735"
"21","JHUNJHUNU","446421","123","17298","1","170","132","16282","846"
"22","JODHPUR","1299120","616","134533","2","1142","750","128812","4579"
"23","KARAULI","212540","47","8349","1","77","0","7930","342"
