Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-01-14,UT,3200,3,784,27874,9349,14725,0,15512.0,15.0,5170.0,153568.0,140519.0,145305.0,Almora,165,0,10,2376,88,565,0,505.0,0.0,159.0,13164.0,7180.0,5437.0,621927,,,,12809,197,12235,268363.0,415801,307691,0,2022-01-14T23:56:15.668335+05:30,11141000,,,,363424,7438,343637,8784327,8315283,6696288,0,0.0,0.0
2022-01-14,UT,3200,3,784,27874,9349,14725,0,15512.0,15.0,5170.0,153568.0,140519.0,145305.0,Bageshwar,38,0,17,436,155,39,0,158.0,0.0,63.0,4028.0,3053.0,461.0,259840,,,,5954,61,5772,226365.0,203089,160159,0,2022-01-14T23:56:15.668335+05:30,11141000,,,,363424,7438,343637,8784327,8315283,6696288,0,0.0,0.0
2022-01-14,UT,3200,3,784,27874,9349,14725,0,15512.0,15.0,5170.0,153568.0,140519.0,145305.0,Chamoli,40,0,3,524,516,928,0,220.0,0.0,11.0,4139.0,3549.0,2717.0,391114,,,,12490,62,12206,313123.0,295779,259201,0,2022-01-14T23:56:15.668335+05:30,11141000,,,,363424,7438,343637,8784327,8315283,6696288,0,0.0,0.0
2022-01-14,UT,3200,3,784,27874,9349,14725,0,15512.0,15.0,5170.0,153568.0,140519.0,145305.0,Champawat,46,0,0,1717,226,112,0,291.0,0.0,33.0,8695.0,3807.0,3135.0,259315,,,,8000,53,7659,287693.0,200066,164174,0,2022-01-14T23:56:15.668335+05:30,11141000,,,,363424,7438,343637,8784327,8315283,6696288,0,0.0,0.0
2022-01-14,UT,3200,3,784,27874,9349,14725,0,15512.0,15.0,5170.0,153568.0,140519.0,145305.0,Dehradun,1030,0,218,6209,2898,3110,0,6089.0,8.0,1748.0,34789.0,40699.0,27680.0,1698560,,,,120227,3538,111490,2086465.0,1666145,1346493,0,2022-01-14T23:56:15.668335+05:30,11141000,,,,363424,7438,343637,8784327,8315283,6696288,0,0.0,0.0
2022-01-14,UT,3200,3,784,27874,9349,14725,0,15512.0,15.0,5170.0,153568.0,140519.0,145305.0,Haridwar,543,1,214,7820,1335,4070,0,2458.0,1.0,763.0,37465.0,14670.0,49940.0,1927029,,,,54436,1026,51400,2331221.0,1600249,1313414,0,2022-01-14T23:56:15.668335+05:30,11141000,,,,363424,7438,343637,8784327,8315283,6696288,0,0.0,0.0
2022-01-14,UT,3200,3,784,27874,9349,14725,0,15512.0,15.0,5170.0,153568.0,140519.0,145305.0,Nainital,494,0,174,1776,694,1331,0,2563.0,2.0,1135.0,12868.0,18470.0,12664.0,955128,,,,42490,949,39605,635438.0,813358,644798,0,2022-01-14T23:56:15.668335+05:30,11141000,,,,363424,7438,343637,8784327,8315283,6696288,0,0.0,0.0
2022-01-14,UT,3200,3,784,27874,9349,14725,0,15512.0,15.0,5170.0,153568.0,140519.0,145305.0,Pauri Garhwal,131,2,59,1535,452,495,0,643.0,4.0,312.0,7837.0,9954.0,4987.0,686527,,,,18658,319,17978,444959.0,482118,352251,0,2022-01-14T23:56:15.668335+05:30,11141000,,,,363424,7438,343637,8784327,8315283,6696288,0,0.0,0.0
2022-01-14,UT,3200,3,784,27874,9349,14725,0,15512.0,15.0,5170.0,153568.0,140519.0,145305.0,Pithoragarh,58,0,8,698,516,753,0,304.0,0.0,31.0,4165.0,5981.0,4759.0,485993,,,,10647,182,10162,251989.0,350837,278594,0,2022-01-14T23:56:15.668335+05:30,11141000,,,,363424,7438,343637,8784327,8315283,6696288,0,0.0,0.0
2022-01-14,UT,3200,3,784,27874,9349,14725,0,15512.0,15.0,5170.0,153568.0,140519.0,145305.0,Rudraprayag,52,0,4,598,54,115,0,126.0,0.0,20.0,2777.0,543.0,4018.0,236857,,,,8940,106,8726,215151.0,185171,147033,0,2022-01-14T23:56:15.668335+05:30,11141000,,,,363424,7438,343637,8784327,8315283,6696288,0,0.0,0.0
