Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-01-14,MH,43211,19,33356,204531,105508,207604,0,290056.0,142.0,169715.0,1417741.0,1864435.0,2085634.0,Ahmednagar,768,0,129,,5965,10577,0,2846.0,4.0,381.0,,88684.0,124894.0,4543083,,,11 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,347182,7168,336882,,3094482,1924504,11,2022-01-15 17:07:33.264042,122153000,2022-01-15 17:07:33.264873,,3739 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7124278,141756,6717125,71564070,84544813,57711969,3739,3739.0,11.0
2022-01-14,MH,43211,19,33356,204531,105508,207604,0,290056.0,142.0,169715.0,1417741.0,1864435.0,2085634.0,Akola,253,0,59,,1323,1553,0,1190.0,0.0,200.0,,33675.0,13734.0,1818617,,,4 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,60217,1428,57608,,1160719,635382,4,2022-01-15 17:07:33.264042,122153000,2022-01-15 17:07:33.264873,,3739 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7124278,141756,6717125,71564070,84544813,57711969,3739,3739.0,4.0
2022-01-14,MH,43211,19,33356,204531,105508,207604,0,290056.0,142.0,169715.0,1417741.0,1864435.0,2085634.0,Amravati,120,0,0,,2449,6037,0,555.0,0.0,0.0,,43462.0,51903.0,2887826,,,2 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,97040,1598,94703,,1945735,1098868,2,2022-01-15 17:07:33.264042,122153000,2022-01-15 17:07:33.264873,,3739 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7124278,141756,6717125,71564070,84544813,57711969,3739,3739.0,2.0
2022-01-14,MH,43211,19,33356,204531,105508,207604,0,290056.0,142.0,169715.0,1417741.0,1864435.0,2085634.0,Aurangabad,657,1,180,,3206,5273,0,2518.0,1.0,574.0,,51202.0,51357.0,3695928,,,14 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,159191,4265,152597,,2750451,1454187,14,2022-01-15 17:07:33.264042,122153000,2022-01-15 17:07:33.264873,,3739 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7124278,141756,6717125,71564070,84544813,57711969,3739,3739.0,14.0
2022-01-14,MH,43211,19,33356,204531,105508,207604,0,290056.0,142.0,169715.0,1417741.0,1864435.0,2085634.0,Beed,72,0,24,,528,903,0,293.0,0.0,112.0,,36431.0,30199.0,2585962,,,7 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,104551,2843,101448,,1693473,963914,7,2022-01-15 17:07:33.264042,122153000,2022-01-15 17:07:33.264873,,3739 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7124278,141756,6717125,71564070,84544813,57711969,3739,3739.0,7.0
2022-01-14,MH,43211,19,33356,204531,105508,207604,0,290056.0,142.0,169715.0,1417741.0,1864435.0,2085634.0,Bhandara,114,0,54,,1262,1345,0,460.0,0.0,142.0,,42308.0,16348.0,1198810,,,10 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,60536,1124,59009,,939554,754768,10,2022-01-15 17:07:33.264042,122153000,2022-01-15 17:07:33.264873,,3739 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7124278,141756,6717125,71564070,84544813,57711969,3739,3739.0,10.0
2022-01-14,MH,43211,19,33356,204531,105508,207604,0,290056.0,142.0,169715.0,1417741.0,1864435.0,2085634.0,Buldhana,94,0,0,,1175,1807,0,335.0,0.0,0.0,,34669.0,25141.0,2588039,,,6 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,86033,812,84825,,1719929,1005255,6,2022-01-15 17:07:33.264042,122153000,2022-01-15 17:07:33.264873,,3739 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7124278,141756,6717125,71564070,84544813,57711969,3739,3739.0,6.0
2022-01-14,MH,43211,19,33356,204531,105508,207604,0,290056.0,142.0,169715.0,1417741.0,1864435.0,2085634.0,Chandrapur,263,0,48,,2936,9421,0,1049.0,0.0,112.0,,42380.0,58478.0,2194262,,,4 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,90249,1566,87595,,1565033,1099449,4,2022-01-15 17:07:33.264042,122153000,2022-01-15 17:07:33.264873,,3739 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7124278,141756,6717125,71564070,84544813,57711969,3739,3739.0,4.0
2022-01-14,MH,43211,19,33356,204531,105508,207604,0,290056.0,142.0,169715.0,1417741.0,1864435.0,2085634.0,Dhule,95,0,0,,879,3923,0,472.0,1.0,31.0,,14975.0,33139.0,2048781,,,11 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,46728,657,45581,,1388559,933442,11,2022-01-15 17:07:33.264042,122153000,2022-01-15 17:07:33.264873,,3739 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7124278,141756,6717125,71564070,84544813,57711969,3739,3739.0,11.0
2022-01-14,MH,43211,19,33356,204531,105508,207604,0,290056.0,142.0,169715.0,1417741.0,1864435.0,2085634.0,Gadchiroli,123,0,27,,3346,4026,0,447.0,0.0,122.0,,33938.0,24676.0,1071795,,,33 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,31042,669,29895,,734943,496957,33,2022-01-15 17:07:33.264042,122153000,2022-01-15 17:07:33.264873,,3739 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7124278,141756,6717125,71564070,84544813,57711969,3739,3739.0,33.0
