"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative
Positive","Today's
Death","Cumulative
Death","Today's
Recovered/ 
Discharged","Cumulative
Recovered/ 
Discharged","Active 
Case"
"1","AJMER","610307","2","37774","0","410","0","37359","5"
"2","ALWAR","1213775","0","59695","0","307","0","59387","1"
"3","BANSWARA","220690","0","10005","0","104","0","9901","0"
"4","BARAN","153153","0","11996","0","61","0","11935","0"
"5","BARMER","325283","4","15568","0","185","0","15378","5"
"6","BHARATPUR","380188","0","19601","0","260","0","19341","0"
"7","BHILWARA","381795","0","29782","0","156","0","29625","1"
"8","BIKANER","587361","0","40347","0","545","1","39795","7"
"9","BUNDI","170673","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","352594","0","19809","0","139","0","19670","0"
"11","CHURU","310658","0","16720","0","107","0","16613","0"
"12","DAUSA","204182","0","13351","0","62","0","13289","0"
"13","DHOLPUR","220894","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","240899","0","18407","0","131","0","18276","0"
"15","GANGANAGAR","326596","0","19355","0","150","0","19204","1"
"16","HANUMANGARH","364030","0","16053","0","111","0","15942","0"
"17","JAIPUR","2490231","10","187841","0","1970","1","185835","36"
"18","JAISALMER","202476","0","13639","0","66","0","13573","0"
"19","JALORE","369211","0","10067","0","72","0","9995","0"
"20","JHALAWAR","271319","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","361728","0","14811","0","158","0","14653","0"
"22","JODHPUR","1144958","1","112415","0","1103","0","111309","3"
"23","KARAULI","166180","0","7156","0","70","0","7086","0"
"24","KOTA","868105","0","57053","0","449","0","56604","0"
"25","NAGAUR","480664","0","17737","0","177","0","17560","0"
"26","PALI","342001","0","27324","0","287","0","27037","0"
"27","PRATAPGARH","198464","0","7143","0","63","0","7080","0"
"28","RAJSAMAND","223977","0","17044","0","169","0","16875","0"
