"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18237","","3666","","21903",""
"2","Total Active Cases","159 
(0.87%)","","14 
(0.38%)","","173 
(0.79%)",""
"3","Total Cured/ Discharged","17919 
(98.3%)","","3594                                  
(98%)","","(98.2%)",""
"4","Total Died","159 
(0.87%)","","58 
(1.6%)","","217 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","17","","00","","17",""
"6","Total Positive cases in Home Isolation","110","","14","","124",""
"7","COVID Care Centre","20","","0","","20",""
"8","Facility Isolation","12","","0","","12",""
"9","No. of Samples Tested (Today)","500","","235","","735",""
"10","No. of Samples Positive (Today)","15","","02","","17",""
"11","No. of Samples Negative (Today)","482","","233","","715",""
"12","Repeat Positive/ Resampling (Today)","03","","00","","03",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","322 
           52 
       00 
            04 
          378"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(16/12/2021)","","Test Done Today 
(17/12/2021)","","Cumulative"
"","","a)  RTPCR","242621","","491","","243112"
"","","b)  TRUENAT","11162","","09","","11171"
"","","c)  RAT","336053","","235","","336288"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","590008","","735","","590743"
