"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18328","","3708","","22036",""
"2","Total Active Cases","154 
(0.84%)","","47 
(1.27%)","","201 
(0.91%)",""
"3","Total Cured/ Discharged","18014 
(98.3%)","","3603                                  
(97.2%)","","(98.1%)",""
"4","Total Died","160 
(0.87%)","","58 
(1.6%)","","218 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","15","","00","","15",""
"6","Total Positive cases in Home Isolation","105","","47","","152",""
"7","COVID Care Centre","17","","0","","17",""
"8","Facility Isolation","17","","0","","17",""
"9","No. of Samples Tested (Today)","555","","280","","835",""
"10","No. of Samples Positive (Today)","18","","06","","24",""
"11","No. of Samples Negative (Today)","536","","274","","810",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","374 
           00 
       00 
            45 
          419"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(22/12/2021)","","Test Done Today 
(23/12/2021)","","Cumulative"
"","","a)  RTPCR","246700","","721","","247421"
"","","b)  TRUENAT","11203","","06","","11209"
"","","c)  RAT","337155","","108","","337263"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","595230","","835","","596065"
