"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,346"
"2","Number of persons tested positive today in Tamil Nadu","613"
"3","Total Number of persons tested positive till date","27,39,196"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,00,175/ 
5,61,13,455@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","99,953/ 
5,51,76,726"
"6","No. of Male / Female / Transgender tested positive today","349/264/0"
"7","No. of Male / Female / Transgender tested positive till date","15,98,851/11,40,307/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","317 (69 Govt+ 
248$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","665/ 
26,95,174"
"10","Total number of deaths today/ till date","9(3 Private &  
6 Govt) /36,676)"
