"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23997","","5338","","29335",""
"2","Total Active Cases","14 
(0.06%)","","00 
(0%)","","14 
(0.05%)",""
"3","Total Cured/Discharged","23812 
(99.2%)","","5278 
(98.9%)","","29090 
(99.16%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","00","","00","","00",""
"6","Total Positive cases in Home Isolation","13","","00","","13",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","93","","08","","101",""
"10","No. of Samples Positive (Today)","03","","00","","03",""
"11","No. of Samples Negative (Today)","90","","08","","98",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","58 
00 
00 
00 
58"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(28/09/2022)","","Test Done Today 
(29/09/2022)","","Cumulative"
"","","a)RTPCR","39266","","60","","39326"
"","","b)TRUENAT","15283","","10","","15293"
"","","c)RAT","363503","","31","","363534"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","719277","","101","","719378"
