"1","Total Samples taken","16035584"
"2","Sample collected on the day","22370"
"3","Test conducted on the day","23009"
"4","Total No. of patients tested Positive","603132"
"5","No. of patients discharged","586227"
"6","Number of active Cases","314"
"7","Total Deaths reported","16591"
"8","No. of Patients on oxygen support","32"
"9","Patients at critical care Level-3 facilities","13"
"10","Patients who are critical and on ventilator support","2"
"11","Healthcare Workers vaccinated with 1st dose on the day","8"
"12","Total Healthcare Workers vaccinated with 1st dose","216655"
"13","Frontline Workers vaccinated with 1st dose on the day","115"
"14","Total Frontline Workers vaccinated with 1st dose","1153039"
"15","Healthcare Workers vaccinated with 2nd dose on the day","44"
"16","Total Healthcare Workers vaccinated with 2nd dose","138271"
"17","Frontline Workers vaccinated with 2nd dose on the day","410"
"18","Total Frontline Workers vaccinated with 2nd dose","336571"
"19","COVID-19 Vaccinated with 1st dose on the day
(Healthcare + Frontline Workers)","123"
"20","COVID-19 Vaccinated with 2nd dose on the day
(Healthcare + Frontline Workers)","454"
"21","Total COVID-19 Vaccinated with 1st dose
(Healthcare + Frontline Workers)","1369694"
"22","Total COVID-19 Vaccinated with 2nd dose
(Healthcare + Frontline Workers)","474842"
"23","Above 45 Vaccinated with 1st dose on the day","7121"
"24","Total Above 45 Vaccinated with 1st dose","6277989"
"25","Above 45 Vaccinated with 2nd dose on the day","23148"
"26","Total Above 45 Vaccinated with 2nd dose","3279683"
"27","18-44 years age group Vaccinated with 1st dose on the day","22191"
"28","Total 18-44 years age group Vaccinated with 1st dose","8668617"
"29","18-44 years age group Vaccinated with 2nd dose on the day","53030"
"30","Total 18-44 years age group Vaccinated with 2nd dose","3597846"
"31","Total Vaccination 1st dose on the day","29435"
"32","Total Vaccination 2nd dose on the day","76632"
"33","Total Vaccination 1st and 2nd dose on the day","106067"
