"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,407"
"2","Number of persons tested positive today in Tamil Nadu","620"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE-1"
"","Total","621"
"3","Total Number of persons tested positive till date","27,38,583"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,05,974/ 
5,60,13,280@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,05,748/ 
5,50,76,773"
"6","No. of Male / Female / Transgender tested positive today","357/264/0"
"7","No. of Male / Female / Transgender tested positive till date","15,98,502/11,40,043/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","316 (69 Govt+ 
247 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","679/ 
26,94,509"
"10","Total number of deaths today/ till date","11(4 Private &  
7 Govt) /36,667)"
