"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23345","","5284","","28629",""
"2","Total Active Cases","68 
(0.29%)","","00 
(0%)","","68 
(0.24%)",""
"3","Total Cured/Discharged","23109 
(98.9%)","","5224 
(98.9%)","","28333 
(98.9%)",""
"4","Total Died","168 
(0.72%)","","60 
(1.1%)","","228 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","21","","00","","21",""
"6","Total Positive cases in Home Isolation","41","","00","","41",""
"7","COVID Care Centre","01","","00","","01",""
"8","Facility Isolation","05","","00","","05",""
"9","No. of Samples Tested (Today)","197","","40","","237",""
"10","No. of Samples Positive (Today)","14","","00","","14",""
"11","No. of Samples Negative (Today)","183","","40","","223",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","42 
23 
05 
02 
72"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(15/07/2022)","","Test Done Today 
(16/07/2022)","","Cumulative"
"","","a)RTPCR","329577","","129","","329706"
"","","b)TRUENAT","14524","","11","","14535"
"","","c)RAT","352108","","97","","352205"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","697314","","237","","697551"
