"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/
Discharged","Cumulative 
Recovered/
Discharged","Active  
case"
"1","AJMER","712871","391","44462","1","418","290","40441","3603"
"2","ALWAR","1407981","754","74605","0","313","970","66908","7384"
"3","BANSWARA","276862","237","11587","0","104","113","10502","981"
"4","BARAN","197023","130","13265","0","62","84","12401","802"
"5","BARMER","373838","130","19991","0","192","330","17633","2166"
"6","BHARATPUR","432077","142","27379","0","263","161","22918","4198"
"7","BHILWARA","455683","353","34254","0","156","285","31474","2624"
"8","BIKANER","661359","200","46881","2","558","242","44063","2260"
"9","BUNDI","204163","43","8676","0","49","44","8214","413"
"10","CHITTORGARH","416092","394","25659","0","139","406","22774","2746"
"11","CHURU","377720","27","18722","0","109","31","17370","1243"
"12","DAUSA","246852","64","14968","0","68","105","14065","835"
"13","DHOLPUR","251984","125","12295","1","49","119","11410","836"
"14","DUNGARPUR","300502","488","21717","0","131","102","19375","2211"
"15","GANGANAGAR","378088","92","21988","1","152","291","20082","1754"
"16","HANUMANGARH","448008","359","19784","0","111","347","17437","2236"
"17","JAIPUR","2925306","2424","241507","4","2007","2024","214764","24736"
"18","JAISALMER","227617","32","15312","0","67","116","14596","649"
"19","JALORE","415120","41","10321","1","74","4","10001","246"
"20","JHALAWAR","334338","206","15558","2","195","149","14410","953"
"21","JHUNJHUNU","436459","132","16444","0","164","24","15120","1160"
"22","JODHPUR","1275638","621","128941","5","1123","810","120603","7215"
"23","KARAULI","207665","97","8003","1","73","17","7232","698"
