"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","519","1","0","17","47"
"2","ALWAR","1230","10","0","26","59"
"3","BANSWARA","210","0","0","0","18"
"4","BARAN","207","0","0","2","3"
"5","BARMER","21","0","0","0","0"
"6","BHARATPUR","77","0","0","1","4"
"7","BHILWARA","273","0","0","5","21"
"8","BIKANER","469","3","0","7","25"
"9","BUNDI","128","2","0","3","11"
"10","CHITTORGARH","330","3","0","3","30"
"11","CHURU","330","0","0","0","0"
"12","DAUSA","561","6","0","7","40"
"13","DHOLPUR","219","0","0","7","4"
"14","DUNGARPUR","38","3","0","0","18"
"15","GANGANAGAR","157","1","0","0","3"
"16","HANUMANGARH","261","0","0","3","8"
"17","JAIPUR","1439","16","1","37","196"
"18","JAISALMER","10","0","0","1","2"
"19","JALORE","96","0","0","0","13"
"20","JHALAWAR","449","0","0","1","0"
"21","JHUNJHUNU","407","0","0","0","0"
"22","JODHPUR","288","4","0","20","51"
"23","KARAULI","218","2","1","2","4"
"24","KOTA","917","1","0","8","33"
"25","NAGAUR","305","0","0","2","7"
"26","PALI","661","0","0","1","14"
