"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,231"
"2","Number of persons tested positive today in Tamil Nadu","216"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Kerala-1"
"","Total","217"
"3","Total Number of persons tested positive till date","34,57,133"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","13,939/ 
6,67,71,977@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","13,891/ 
6,55,94,345"
"6","No. of Male / Female / Transgender tested positive today","110/107/0"
"7","No. of Male / Female / Transgender tested positive till date","20,17,504/14,39,591/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","145/ 
34,17,877"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
