"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22925","","5275","","28200",""
"2","Total Active Cases","45 
(0.19%)","","02 
(0.04%)","","47 
(0.17%)",""
"3","Total Cured/ Discharged","22712 
(99.1%)","","5213                                  
(98.8%)","","(99%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","10","","0","","10",""
"6","Total Positive cases in Home Isolation","10","","02","","12",""
"7","COVID Care Centre","25","","00","","25",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","320","","132","","452",""
"10","No. of Samples Positive (Today)","05","","00","","05",""
"11","No. of Samples Negative (Today)","312","","132","","444",""
"12","Repeat Positive/ Resampling (Today)","03","","00","","03",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","209 
        00 
        00 
        03 
       212"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(17/03/2022)","","Test Done Today 
(18/03/2022)","","Cumulative"
"","","a)  RTPCR","312231","","402","","312633"
"","","b)  TRUENAT","12674","","24","","12698"
"","","c)  RAT","347259","","26","","347285"
"","","d)  CBNAAT","902","","00","","902"
"","","TOTAL","673066","","452","","673518"
