"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","788322","2","49777","0","447","0","49301","29"
"2","ALWAR","1610775","5","84648","0","320","8","84285","43"
"3","BANSWARA","318383","1","14766","0","106","0","14659","1"
"4","BARAN","236560","0","15296","0","64","9","15206","26"
"5","BARMER","403690","0","21455","0","205","0","21249","1"
"6","BHARATPUR","476270","0","31451","0","272","0","31179","0"
"7","BHILWARA","507304","1","38184","0","162","0","38019","3"
"8","BIKANER","743640","0","49942","0","586","0","49340","16"
"9","BUNDI","234359","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","452204","2","29389","0","140","0","29240","9"
"11","CHURU","434465","0","20843","0","114","0","20717","12"
"12","DAUSA","292151","1","15822","0","81","1","15726","15"
"13","DHOLPUR","285230","1","13954","0","49","2","13894","11"
"14","DUNGARPUR","327769","0","25498","0","134","0","25364","0"
"15","GANGANAGAR","422680","1","28150","0","158","0","27985","7"
"16","HANUMANGARH","488500","0","22518","0","114","0","22404","0"
"17","JAIPUR","3421909","38","275996","0","2113","0","273522","361"
"18","JAISALMER","242493","0","17036","0","68","0","16968","0"
"19","JALORE","445340","1","10548","0","78","0","10468","2"
"20","JHALAWAR","396780","0","17732","0","207","4","17515","10"
"21","JHUNJHUNU","492659","0","19158","0","181","0","18977","0"
"22","JODHPUR","1422209","3","141128","0","1164","2","139947","17"
"23","KARAULI","238526","0","8968","0","84","0","8884","0"
