"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22839","","5273","","28112",""
"2","Total Active Cases","121 
(0.54%)","","02 
(0.04%)","","123 
(0.44%)",""
"3","Total Cured/ Discharged","22550 
(98.7%)","","5211                                  
(98.8%)","","(98.7%)",""
"4","Total Died","168 
(0.74%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","05","","0","","05",""
"6","Total Positive cases in Home Isolation","37","","02","","39",""
"7","COVID Care Centre","77","","00","","77",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","543","","63","","606",""
"10","No. of Samples Positive (Today)","17","","00","","17",""
"11","No. of Samples Negative (Today)","521","","63","","584",""
"12","Repeat Positive/ Resampling (Today)","05","","00","","05",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","387 
        00 
        00 
        02 
       389"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(04/03/2022)","","Test Done Today 
(05/03/2022)","","Cumulative"
"","","a)  RTPCR","306112","","555","","306667"
"","","b)  TRUENAT","12396","","24","","12420"
"","","c)  RAT","346938","","27","","346965"
"","","d)  CBNAAT","831","","00","","831"
"","","TOTAL","666277","","606","","666883"
