"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Disc
harged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","649321","3","37867","0","410","0","37433","24"
"2","ALWAR","1312141","3","59746","0","307","0","59431","8"
"3","BANSWARA","250515","0","10005","0","104","0","9901","0"
"4","BARAN","174455","0","12000","0","61","0","11936","3"
"5","BARMER","340775","1","15586","0","186","0","15394","6"
"6","BHARATPUR","392528","0","19605","0","260","0","19344","1"
"7","BHILWARA","413134","2","29793","0","156","0","29627","10"
"8","BIKANER","613391","4","40409","0","546","0","39841","22"
"9","BUNDI","185708","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","375007","0","19809","0","139","0","19670","0"
"11","CHURU","335768","0","16723","0","108","0","16615","0"
"12","DAUSA","221271","0","13356","0","62","0","13292","2"
"13","DHOLPUR","231325","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","260300","0","18412","0","131","0","18281","0"
"15","GANGANAGAR","349555","0","19362","0","151","0","19207","4"
"16","HANUMANGARH","404618","0","16076","0","111","0","15955","10"
"17","JAIPUR","2625740","17","188227","0","1971","8","186160","96"
"18","JAISALMER","211704","1","13651","0","66","0","13580","5"
"19","JALORE","388728","0","10068","0","72","0","9995","1"
"20","JHALAWAR","304117","0","13613","0","187","0","13425","1"
"21","JHUNJHUNU","400475","2","14828","0","159","0","14660","9"
"22","JODHPUR","1185971","0","112442","0","1103","0","111326","13"
"23","KARAULI","182446","0","7156","0","70","0","7086","0"
