"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","286"
"2","Number of persons tested positive today in Tamil Nadu","57"
"3","Total Number of persons tested positive till date","34,53,447"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","18,006/ 
6,60,18,119@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","17,997/ 
6,48,41,401"
"6","No. of Male / Female / Transgender tested positive today","30/27/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,464/14,37,945/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","27/ 
34,15,136"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
