"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","511442","19500306"
"2","Total No. of patients tested Positive","1113","760189"
"3","No. of patients discharged","1072","742322"
"4","Total Deaths reported","5","17752"
"5","Sample collected on the day","","12423"
"6","Test conducted on the day","","12311"
"7","Positive cases on the day","","10"
"8","Number of active Cases","","115"
"9","No. of Patients on oxygen support","","2"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218603"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117194"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","4"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209929"
"18","Frontline Workers vaccinated with 2nd dose on the day","","15"
"19","Total Frontline Workers vaccinated with 2nd dose","","1011727"
"20","Above 45 Vaccinated with 1st dose on the day","","132"
"21","Total Above 45 Vaccinated with 1st dose","","8308537"
"22","Above 45 Vaccinated with 2nd dose on the day","","2090"
"23","Total Above 45 Vaccinated with 2nd dose","","7194864"
"24","18-44 years age group Vaccinated with 1st dose on the day","","692"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12536805"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","4373"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9729379"
"28","15-17 years age group Vaccinated with 1st dose on the day","","233"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1065235"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","404"
"31","Total 15-17 years age group Vaccinated with 2nddose","","683591"
"32","12-14 years age group Vaccinated with 1st dose on the day","","383"
"33","Total 12-14 years age group Vaccinated with 1st dose","","549184"
"34","12-14 years age group Vaccinated with 2nddose on the day","","419"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","230275"
"36","Precautionary dose given on the day","","917"
"37","Total Precautionary dose given","","611715"
"38","Total Vaccination 1st dose on the day","","824"
"39","Total Vaccination 2nd dose on the day","","6482"
"40","Total Vaccination 1st and 2nd dose on the day","","7306"
