"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dis
charged","Cumulative 
Recovered/Dis
charged","Active  
case"
"1","AJMER","632499","0","37830","0","410","6","37400","20"
"2","ALWAR","1256821","0","59719","0","307","0","59401","11"
"3","BANSWARA","233463","0","10005","0","104","0","9901","0"
"4","BARAN","163638","0","11997","0","61","0","11936","0"
"5","BARMER","333121","2","15575","0","185","0","15384","6"
"6","BHARATPUR","384788","0","19601","0","260","0","19341","0"
"7","BHILWARA","396108","0","29783","0","156","0","29626","1"
"8","BIKANER","599530","10","40381","0","545","0","39803","33"
"9","BUNDI","177222","0","7967","0","48","0","7919","0"
"10","CHITTORGARH","363269","0","19809","0","139","0","19670","0"
"11","CHURU","320316","0","16721","0","107","0","16613","1"
"12","DAUSA","212217","0","13354","0","62","0","13289","3"
"13","DHOLPUR","226444","0","11010","0","48","0","10962","0"
"14","DUNGARPUR","251722","2","18409","0","131","0","18276","2"
"15","GANGANAGAR","336387","0","19356","0","150","0","19205","1"
"16","HANUMANGARH","381976","0","16054","0","111","0","15942","1"
"17","JAIPUR","2558821","9","188033","0","1971","18","185962","100"
"18","JAISALMER","207466","0","13644","0","66","0","13575","3"
"19","JALORE","377037","0","10067","0","72","0","9995","0"
"20","JHALAWAR","286512","0","13612","0","187","0","13425","0"
"21","JHUNJHUNU","376731","1","14812","0","158","0","14653","1"
"22","JODHPUR","1163682","0","112422","0","1103","0","111313","6"
"23","KARAULI","171961","0","7156","0","70","0","7086","0"
