"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,866"
"2","Number of persons tested positive today in Tamil Nadu","430"
"","Passengers returned from other states  by Road tested 
positive today","Uttar Pradesh-1"
"","Total","431"
"3","Total Number of persons tested positive till date","35,73,667"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","17,473/ 
6,91,08,599@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","17,319/ 
6,78,93,340"
"6","No. of Male / Female / Transgender tested positive today","238/193/0"
"7","No. of Male / Female / Transgender tested positive till date","20,84,057/14,89,572/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","461/ 
35,30,763"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,038"
