"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","721","2","0","0","71"
"2","ALWAR","1353","12","0","4","121"
"3","BANSWARA","132","0","0","0","7"
"4","BARAN","263","0","0","0","5"
"5","BARMER","34","0","0","0","4"
"6","BHARATPUR","267","1","0","3","18"
"7","BHILWARA","409","0","0","0","20"
"8","BIKANER","930","1","0","0","38"
"9","BUNDI","137","1","0","0","8"
"10","CHITTORGARH","394","5","0","0","55"
"11","CHURU","115","0","0","0","0"
"12","DAUSA","600","6","0","11","78"
"13","DHOLPUR","214","0","0","0","10"
"14","DUNGARPUR","4","1","0","0","26"
"15","GANGANAGAR","209","2","0","0","5"
"16","HANUMANGARH","266","1","0","0","9"
"17","JAIPUR","1984","14","0","0","313"
"18","JAISALMER","39","0","0","0","13"
"19","JALORE","272","0","0","0","3"
"20","JHALAWAR","308","0","0","3","11"
"21","JHUNJHUNU","600","1","0","0","11"
"22","JODHPUR","460","10","0","25","96"
"23","KARAULI","226","2","0","0","4"
"24","KOTA","1062","6","0","2","49"
"25","NAGAUR","382","3","0","5","37"
"26","PALI","672","7","0","0","45"
