"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","7,723"
"2","Number of persons tested positive today in Tamil Nadu","674"
"3","Total Number of persons tested positive till date","27,35,389"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,01,165/ 
5,54,96,026@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,00,929/ 
5,45,60,671"
"6","No. of Male / Female / Transgender tested positive today","393/281/0"
"7","No. of Male / Female / Transgender tested positive till date","15,96,657/11,38,694/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","315 (69 Govt+ 
246 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","708/ 
26,91,054"
"10","Total number of deaths today/ till date","13(4 Private &  
9 Govt) /36,612)"
