"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22949","","5276","","28225",""
"2","Total Active Cases","04 
(0.02%)","","01 
(0.02%)","","05 
(0.02%)",""
"3","Total Cured/Discharged","22777 
(99.3%)","","5215 
(98.8%)","","27992 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","0","","02",""
"6","Total Positive cases in Home Isolation","02","","01","","03",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","67","","54","","121",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","66","","54","","120",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg 
(Drass)c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","83 
00 
00 
05 
88"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(03/04/2022)","","Test Done Today 
(04/04/2022)","","Cumulative"
"","","a)RTPCR","317058","","78","","317136"
"","","b)TRUENAT","13080","","16","","13096"
"","","c)RAT","347607","","07","","347614"
"","","d)  CBNAAT","959","","20","","979"
"","","TOTAL","678704","","121","","678825"
