"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative
Positive","Today's
Death","Cumulative
Death","Today's
Recovered/ 
Discharged","Cumulative
Recovered/ 
Discharged","Active 
Case"
"1","AJMER","791681","7","49842","0","447","2","49354","41"
"2","ALWAR","1619453","12","84790","0","321","4","84409","60"
"3","BANSWARA","320811","0","14771","0","106","0","14665","0"
"4","BARAN","239874","1","15309","0","64","0","15242","3"
"5","BARMER","404661","0","21455","0","205","0","21250","0"
"6","BHARATPUR","476314","0","31451","0","272","0","31179","0"
"7","BHILWARA","508644","0","38202","0","162","1","38033","7"
"8","BIKANER","750681","12","50062","0","587","10","49418","57"
"9","BUNDI","236045","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","453290","1","29408","0","140","3","29256","12"
"11","CHURU","436197","0","20899","0","115","6","20760","24"
"12","DAUSA","295012","0","15859","0","81","4","15757","21"
"13","DHOLPUR","287702","0","13966","0","49","0","13916","1"
"14","DUNGARPUR","327935","1","25499","0","134","0","25364","1"
"15","GANGANAGAR","423106","0","28159","0","158","0","27995","6"
"16","HANUMANGARH","489035","0","22522","0","114","0","22405","3"
"17","JAIPUR","3452574","64","276699","0","2113","46","274269","317"
"18","JAISALMER","242682","0","17036","0","68","0","16968","0"
"19","JALORE","446400","0","10552","0","78","0","10473","1"
"20","JHALAWAR","406667","2","17757","0","207","0","17543","7"
"21","JHUNJHUNU","493396","0","19160","0","181","0","18978","1"
"22","JODHPUR","1428051","9","141202","0","1164","6","140004","34"
"23","KARAULI","241366","0","8968","0","84","0","8884","0"
"24","KOTA","1128940","0","70126","0","477","1","69646","3"
"25","NAGAUR","648756","4","23707","0","200","2","23485","22"
"26","PALI","462319","0","35853","0","298","0","35555","0"
"27","PRATAPGARH","277790","0","11876","0","65","0","11810","1"
"28","RAJSAMAND","301833","0","23036","0","178","2","22856","2"
"29","SAWAI MADHOPUR","278231","0","15821","0","66","0","15753","2"
