"Total No. of Sample Taken Today","11666"
"Total No. of Positive Cases Detected Today","21"
"Total Positive Cases under Home Isolation (21-11-2021)","106"
"Total No. of Samples Sent till date","13428234"
"Total No. of Samples found Positive till date","771565 
(M: 471455 
F: 300093 
Transgender: 17)"
"Total Positive COVID-19 Patients Recovered / Discharged till date","761374"
"Total Active COVID-19 Patients","115"
"No. of Deaths","10053"
"Total No. of People Vaccinated today","132362 
(1st Dose: 37719, 
2nd Dose: 94643"
"Cumulative Coverage of COVID-19 Vaccination - 1sr Dose","18291879 (89%)"
"Cumulative Coverage of COVID-19 Vaccination – 2nd Dose","9401453 (46%)"
"Cumulative Coverage of Total COVID-19 Vaccination","27693332"
"COVID-19 Today (22-11-2021) Positivity Rate","0.15%"
"COVID-19 Cumulative Positivity Rate","5.75%"
"Recovery Rate","98.68%"
"Fatality Rate","1.30%"
"Tests Per Million Population","529713"
