"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23972","","5338","","29310",""
"2","Total Active Cases","16 
(0.07%)","","01 
(0.02%)","","17 
(0.06%)",""
"3","Total Cured/Discharged","23786 
(99.22%)","","5277 
(98.85%)","","29063 
(99.16%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","00","","03",""
"6","Total Positive cases in Home Isolation","12","","01","","13",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","106","","55","","161",""
"10","No. of Samples Positive (Today)","02","","00","","02",""
"11","No. of Samples Negative (Today)","104","","55","","159",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","69 
00 
02 
00 
71"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(18/09/2022)","","Test Done Today 
(19/09/2022)","","Cumulative"
"","","a)RTPCR","38510","","120","","38630"
"","","b)TRUENAT","15157","","13","","15170"
"","","c)RAT","363172","","28","","363200"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","718064","","161","","718225"
