"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","181","109958","174","107663","3","2282","13"
"2","SAS Nagar","385","96074","349","94882","1","1149","43"
"3","Jalandhar","131","78401","110","76810","0","1578","13"
"4","Patiala","218","62249","214","60786","0","1457","6"
"5","Amritsar","81","59478","82","57790","0","1682","6"
"6","Bathinda","54","50922","51","49829","0","1088","5"
"7","Hoshiarpur","61","40901","67","39799","0","1096","6"
"8","Gurdaspur","20","26959","21","26094","1","865","0"
"9","Pathankot","46","24578","50","24083","0","495","0"
"10","Fazilka","28","23426","40","22879","0","545","2"
"11","Muktsar","13","22567","12","22022","0","539","6"
"12","Kapurthala","39","22074","32","21484","1","583","7"
"13","Ropar","31","17969","29","17512","0","455","2"
"14","Ferozepur","19","17918","18","17378","0","537","3"
"15","Mansa","6","17234","5","16841","1","393","0"
"16","Faridkot","30","16813","30","16471","0","338","4"
"17","Sangrur","0","14309","1","13574","0","735","0"
"18","SBS Nagar","21","13423","25","13013","0","409","1"
"19","FG Sahib","12","11846","9","11489","0","354","3"
"20","Moga","7","10995","7","10738","1","255","2"
"21","Tarn Taran","4","10902","3","10508","0","394","0"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","1","3969","0","3791","0","176","2"
"","Total","1395","760469","1341","742591","8","17754","124"
