"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","645069","19633938"
"2","Total No. of patients tested Positive","1395","760469"
"3","No. of patients discharged","1341","742591"
"4","Total Deaths reported","8","17754"
"5","Sample collected on the day","","3445"
"6","Test conducted on the day","","6761"
"7","Positive cases on the day","","24"
"8","Number of active Cases","","124"
"9","No. of Patients on oxygen support","","1"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","5"
"13","Total Healthcare Workers vaccinated with 1st dose","","218637"
"14","Frontline Workers vaccinated with 1st dose on the day","","4"
"15","Total Frontline Workers vaccinated with 1st dose","","1117336"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","17"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210197"
"18","Frontline Workers vaccinated with 2nd dose on the day","","68"
"19","Total Frontline Workers vaccinated with 2nd dose","","1012719"
"20","Above 45 Vaccinated with 1st dose on the day","","360"
"21","Total Above 45 Vaccinated with 1st dose","","8316063"
"22","Above 45 Vaccinated with 2nd dose on the day","","7201"
"23","Total Above 45 Vaccinated with 2nd dose","","7303054"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1060"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12564267"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","14332"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9943999"
"28","15-17 years age group Vaccinated with 1st dose on the day","","570"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1077986"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2085"
"31","Total 15-17 years age group Vaccinated with 2nddose","","721112"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1278"
"33","Total 12-14 years age group Vaccinated with 1st dose","","580716"
"34","12-14 years age group Vaccinated with 2nddose on the day","","3442"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","289131"
"36","Precautionary dose given on the day","","3642"
"37","Total Precautionary dose given","","657358"
"38","Total Vaccination 1st dose on the day","","1429"
"39","Total Vaccination 2nd dose on the day","","21618"
"40","Total Vaccination 1st and 2nd dose on the day","","23047"
