"D
       
   
  *
     
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 10-04-2022 
From 04-04-2022 to 10-04.2022 
 
Particulars 
Today’s 
Cumulative 
- 
794326 
A 
Total Passengers screened at Air ports","","","","","",""
"","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","45","",""
"","","2","Total Discharges","3904462","",""
"","","3","Today's Tests Conducted","9981","",""
"","","4","Total Tests Conducted","65701775","",""
"","","5","Today’s New Cases Reported(09.04.2022, 00:00 to 23:59)","56","",""
"","","6","Total Active Cases","1441","",""
"","","7","Today's Deaths Reported","0","",""
"","","8","Total Covid Deaths","40057","",""
"","","9","Total Positive Cases","3946002","",""
"","","10","Positivity Rate for the day (09.04.2022, 00:00 to 23:59)","0.56%","",""
"","","11","*Weekly Total Positivity Rate","0.48%","",""
"","","12","Case Fatality Rate (CFR) for the day (09.04.2022, 00:00 to 23:59)","0.00","",""
"","","13","*Weekly Case Fatality Rate","0.99%","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"*Date: 09-04-2022 
 
Date: 10-04-2022 
Page 1 of 6","","","","","",""
