"Total No. of Sample Taken Today","14894"
"Total No. of Positive Cases Detected Today","403"
"Total Active COVID-19 Patients","1869"
"Total No. of Active Cases under Home Isolation (15-07-2022)","1797"
"Total No. of Samples found Positive till date","1021598"
"Total Positive COVID-19 Patients Recovered / Discharged till date","1009074"
"No. of Deaths","10632"
"Total No. of People Vaccinated Today","32901 
(1st Dose: 2292 
2nd Dose: 9032 
Precaution Dose: 21577)"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23594826 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 87% for 15yrs above population)","19557012 (87%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","1206972"
"Cumulative Coverage of Total COVID-19 Vaccination","44358810"
"COVID-19 Today (15-07-2022) Positivity Rate","2.56%"
"Recovery Rate","98.77%"
"Fatality Rate","1.04%"
