"S.No","District","","Cumulative Sample  Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Discha
rged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","772299","0","49696","0","446","3","49243","7"
"2","ALWAR","1556620","3","84427","0","320","14","84083","24"
"3","BANSWARA","305756","5","14744","0","106","5","14615","23"
"4","BARAN","224854","1","15241","0","64","0","15171","6"
"5","BARMER","398431","0","21452","0","205","1","21245","2"
"6","BHARATPUR","471194","0","31423","0","272","6","31136","15"
"7","BHILWARA","497461","0","38176","0","162","1","38008","6"
"8","BIKANER","720284","1","49878","0","586","6","49280","12"
"9","BUNDI","225421","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","446254","0","29362","0","140","0","29221","1"
"11","CHURU","419623","3","20805","0","114","5","20681","10"
"12","DAUSA","281126","1","15773","0","80","0","15689","4"
"13","DHOLPUR","273321","0","13747","0","49","1","13696","2"
"14","DUNGARPUR","325764","0","25497","0","134","0","25363","0"
"15","GANGANAGAR","416945","4","28134","0","158","2","27955","21"
"16","HANUMANGARH","480678","5","22499","0","114","8","22341","44"
"17","JAIPUR","3284767","20","274122","1","2111","62","271683","328"
"18","JAISALMER","240533","0","17036","0","68","0","16968","0"
"19","JALORE","438301","1","10539","0","78","1","10459","2"
"20","JHALAWAR","368715","0","17706","0","207","2","17495","4"
"21","JHUNJHUNU","482917","0","19158","0","181","2","18974","3"
"22","JODHPUR","1384117","8","140982","0","1163","10","139741","78"
"23","KARAULI","232621","0","8965","0","84","0","8879","2"
