"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22991","","5281","","28272",""
"2","Total Active Cases","07 
(0.03%)","","00 
(0%)","","07 
(0.02%)",""
"3","Total Cured/Discharged","22816 
(99.2%)","","5221 
(98.9%)","","28037 
(99.2%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","01","","0","","01",""
"6","Total Positive cases in Home Isolation","05","","00","","05",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","79","","22","","101",""
"10","No. of Samples Positive (Today)","01","","00","","01",""
"11","No. of Samples Negative (Today)","77","","22","","99",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","51 
26 
09 
06 
92"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(05/06/2022)","","Test Done Today 
(06/06/2022)","","Cumulative"
"","","a)RTPCR","323273","","70","","323343"
"","","b)TRUENAT","14093","","04","","14097"
"","","c)RAT","349518","","27","","349545"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","687989","","101","","688090"
